year,marathon,country,finishers,mean_time
2012,Amsterdam Marathon,Netherlands,10142,236.55
2013,Amsterdam Marathon,Netherlands,11291,241.55
2001,"Andrew Jackson
  Marathon",US,64,262.66
2003,"Andrew Jackson
  Marathon",US,36,239.74
2005,"Andrew Jackson
  Marathon",US,38,251.93
2006,"Andrew Jackson
  Marathon",US,67,258.84
2007,"Andrew Jackson
  Marathon",US,62,266.83
2008,"Andrew Jackson
  Marathon",US,88,264.73
2009,"Andrew Jackson
  Marathon",US,64,250.98
2010,"Andrew Jackson
  Marathon",US,88,261.71
2011,"Andrew Jackson
  Marathon",US,117,288.92
2012,"Andrew Jackson
  Marathon",US,151,279.27
2013,"Andrew Jackson
  Marathon",US,96,249.21
2001,Andy Payne Marathon,US,90,263.4
2002,Andy Payne Marathon,US,48,249.11
2003,Andy Payne Marathon,US,51,254.68
2004,Andy Payne Marathon,US,47,281.59
2005,Andy Payne Marathon,US,41,263.19
2006,Andy Payne Marathon,US,46,288.46
2007,Andy Payne Marathon,US,64,267.23
2008,Andy Payne Marathon,US,79,284.98
2009,Andy Payne Marathon,US,122,278.37
2010,Andy Payne Marathon,US,79,282.68
2011,Andy Payne Marathon,US,69,294.37
2012,Andy Payne Marathon,US,71,279.22
2012,Ann Arbor Marathon,US,580,269.09
2013,Ann Arbor Marathon,US,402,260.67
2010,"Antarctic Ice
  Marathon",Antarctica,36,370.95
2011,"Antarctic Ice
  Marathon",Antarctica,32,375.1
2012,"Antarctic Ice
  Marathon",Antarctica,46,356.73
2013,"Antarctic Ice
  Marathon",Antarctica,51,374.31
2002,Antarctica Marathon,Antarctica,84,358.62
2005,Antarctica Marathon,Antarctica,76,411.05
2007,Antarctica Marathon,Antarctica,145,357.98
2008,Antarctica Marathon,Antarctica,128,343.01
2009,Antarctica Marathon,Antarctica,149,327.83
2010,Antarctica Marathon,Antarctica,70,342.66
2011,Antarctica Marathon,Antarctica,22,266.43
2012,Antarctica Marathon,Antarctica,76,337.9
2013,Antarctica Marathon,Antarctica,60,344.87
2004,Arizona Marathon,US,9637,290.12
2005,Arizona Marathon,US,7157,286.29
2006,Arizona Marathon,US,7428,282.59
2007,Arizona Marathon,US,6729,272.29
2008,Arizona Marathon,US,6499,275.28
2009,Arizona Marathon,US,6549,274.11
2010,Arizona Marathon,US,5741,268.58
2011,Arizona Marathon,US,5118,270.72
2012,Arizona Marathon,US,4194,267.98
2013,Arizona Marathon,US,3529,270.37
2001,Arkansas Marathon,US,100,261.39
2002,Arkansas Marathon,US,75,265.63
2003,Arkansas Marathon,US,28,278.77
2004,Arkansas Marathon,US,21,254.92
2005,Arkansas Marathon,US,32,280.46
2006,Arkansas Marathon,US,38,279.7
2007,Arkansas Marathon,US,37,272.02
2008,Arkansas Marathon,US,41,286.95
2009,Arkansas Marathon,US,31,288.18
2010,Arkansas Marathon,US,38,271.1
2011,Arkansas Marathon,US,23,269.63
2012,Arkansas Marathon,US,15,257.53
2013,Arkansas Marathon,US,17,286.02
2011,"Arkansas River
  Bluegrass Marathon",US,33,302.96
2001,"Around the Lake
  Marathon",US,29,329.96
2002,"Around the Lake
  Marathon",US,36,287.59
2003,"Around the Lake
  Marathon",US,51,290.44
2004,"Around the Lake
  Marathon",US,51,288.23
2005,"Around the Lake
  Marathon",US,52,300.88
2006,"Around the Lake
  Marathon",US,70,304.43
2007,"Around the Lake
  Marathon",US,80,316.09
2008,"Around the Lake
  Marathon",US,82,318.02
2009,"Around the Lake
  Marathon",US,100,264.92
2010,"Around the Lake
  Marathon",US,122,280.57
2011,"Around the Lake
  Marathon",US,246,277.07
2012,"Around the Lake
  Marathon",US,127,273.15
2013,"Around the Lake
  Marathon",US,89,288.27
2009,"Asbury Park Relay
  Marathon",US,114,265.3
2010,"Asbury Park Relay
  Marathon",US,87,263.16
2011,"Asbury Park Relay
  Marathon",US,64,259.36
2013,"Asheville City
  Marathon",US,403,271.29
2013,Asheville Marathon,US,851,276.94
2011,"Aspen Backcountry
  Marathon",US,190,363.82
2012,"Aspen Backcountry
  Marathon",US,164,364.62
2013,"Aspen Backcountry
  Marathon",US,111,348.76
2002,Aspen Trail Race,US,10,393.98
2011,Aspen Valley Marathon,US,58,250.25
2012,Aspen Valley Marathon,US,145,264.22
2013,Aspen Valley Marathon,US,165,268.66
2002,Assegaai Marathon,South Africa,93,233.94
2008,"Athens Big Fork Trail
  Marathon",US,28,404.53
2009,"Athens Big Fork Trail
  Marathon",US,35,400.22
2010,"Athens Big Fork Trail
  Marathon",US,43,404.96
2011,"Athens Big Fork Trail
  Marathon",US,51,375.18
2012,"Athens Big Fork Trail
  Marathon",US,64,399.98
2013,"Athens Big Fork Trail
  Marathon",US,67,417.28
2001,Athens Marathon,US,76,270.18
2002,Athens Marathon,US,157,264.2
2003,Athens Marathon,US,145,257.3
2004,Athens Marathon,US,116,245.6
2005,Athens Marathon,US,116,257.54
2006,Athens Marathon,US,135,246.36
2007,Athens Marathon,US,164,247
2008,Athens Marathon,US,213,248.87
2009,Athens Marathon,US,190,241.76
2010,Athens Marathon,US,172,253.68
2011,Athens Marathon,US,196,246.47
2012,Athens Marathon,US,189,249.91
2013,Athens Marathon,US,197,246.14
2009,"Athens
  Marathon-Greece",Greece,3855,263.07
2010,"Athens
  Marathon-Greece",Greece,10371,279.01
2011,"Athens
  Marathon-Greece",Greece,6144,263.86
2012,"Athens
  Marathon-Greece",Greece,6470,272.2
2000,Atlanta Marathon,US,779,245.07
2001,Atlanta Marathon,US,674,244.46
2002,Atlanta Marathon,US,641,247.39
2003,Atlanta Marathon,US,633,243.95
2004,Atlanta Marathon,US,657,245.19
