marathon,marathon_name,state_id,city,finishers,mean_time,lat,lng,elevation_m,date,month,day,year
Air Force Marathon,Air Force Marathon,WA,Dayton,1407,276.98,46.3168,-117.9769,1212.48,2002-09-19,9,19,2002
Air Force Marathon,Air Force Marathon,WA,Dayton,1265,274.05,46.3168,-117.9769,1212.48,2003-09-19,9,19,2003
Air Force Marathon,Air Force Marathon,WA,Dayton,1184,273.94,46.3168,-117.9769,1212.48,2004-09-19,9,19,2004
Air Force Marathon,Air Force Marathon,WA,Dayton,1216,278.83,46.3168,-117.9769,1212.48,2005-09-19,9,19,2005
Air Force Marathon,Air Force Marathon,WA,Dayton,1378,278.59,46.3168,-117.9769,1212.48,2006-09-19,9,19,2006
Air Force Marathon,Air Force Marathon,WA,Dayton,1652,267.89,46.3168,-117.9769,1212.48,2007-09-19,9,19,2007
Air Force Marathon,Air Force Marathon,WA,Dayton,1798,276.39,46.3168,-117.9769,1212.48,2008-09-19,9,19,2008
Air Force Marathon,Air Force Marathon,WA,Dayton,2017,271.69,46.3168,-117.9769,1212.48,2009-09-19,9,19,2009
Air Force Marathon,Air Force Marathon,WA,Dayton,2417,280.98,46.3168,-117.9769,1212.48,2010-09-19,9,19,2010
Air Force Marathon,Air Force Marathon,WA,Dayton,2518,280.02,46.3168,-117.9769,1212.48,2011-09-19,9,19,2011
Air Force Marathon,Air Force Marathon,WA,Dayton,3298,286.22,46.3168,-117.9769,1212.48,2012-09-19,9,19,2012
Air Force Marathon,Air Force Marathon,WA,Dayton,3126,286.34,46.3168,-117.9769,1212.48,2013-09-19,9,19,2013
"American Birkebeiner
  Trail Run",American Birkebeiner Trail Run,WI,Hayward,73,270.55,46.0094,-91.4826,399.54,2010-09-26,9,26,2010
"American Birkebeiner
  Trail Run",American Birkebeiner Trail Run,WI,Hayward,81,281.64,46.0094,-91.4826,399.54,2011-09-26,9,26,2011
"American Birkebeiner
  Trail Run",American Birkebeiner Trail Run,WI,Hayward,117,290.51,46.0094,-91.4826,399.54,2012-09-26,9,26,2012
"American Birkebeiner
  Trail Run",American Birkebeiner Trail Run,WI,Hayward,109,269.84,46.0094,-91.4826,399.54,2013-09-26,9,26,2013
"American Discovery
  Trail Marathon",American Discovery Trail Marathon,CO,Colorado Springs,245,265.64,38.8674,-104.7606,2338.32,2001-09-07,9,7,2001
"American Discovery
  Trail Marathon",American Discovery Trail Marathon,CO,Colorado Springs,279,274.61,38.8674,-104.7606,2338.32,2002-09-07,9,7,2002
"American Discovery
  Trail Marathon",American Discovery Trail Marathon,CO,Colorado Springs,277,265.8,38.8674,-104.7606,2338.32,2003-09-07,9,7,2003
"American Discovery
  Trail Marathon",American Discovery Trail Marathon,CO,Colorado Springs,183,269.02,38.8674,-104.7606,2338.32,2004-09-07,9,7,2004
"American Discovery
  Trail Marathon",American Discovery Trail Marathon,CO,Colorado Springs,205,276.13,38.8674,-104.7606,2338.32,2005-09-07,9,7,2005
"American Discovery
  Trail Marathon",American Discovery Trail Marathon,CO,Colorado Springs,187,268.94,38.8674,-104.7606,2338.32,2006-09-07,9,7,2006
"American Discovery
  Trail Marathon",American Discovery Trail Marathon,CO,Colorado Springs,171,275.6,38.8674,-104.7606,2338.32,2007-09-07,9,7,2007
"American Discovery
  Trail Marathon",American Discovery Trail Marathon,CO,Colorado Springs,251,282.11,38.8674,-104.7606,2338.32,2008-09-07,9,7,2008
