age,gender,chiptime,year,marathon,country,finishers
59,NA,209.7167,2011,Jerusalem Marathon,Israel,841
49,NA,209.9333,2011,Jerusalem Marathon,Israel,841
52,NA,210.0167,2011,Jerusalem Marathon,Israel,841
47,NA,210.4333,2011,Jerusalem Marathon,Israel,841
51,NA,211.0667,2011,Jerusalem Marathon,Israel,841
34,NA,211.6833,2011,Jerusalem Marathon,Israel,841
22,NA,212.0333,2011,Jerusalem Marathon,Israel,841
33,NA,212.1833,2011,Jerusalem Marathon,Israel,841
47,NA,212.6667,2011,Jerusalem Marathon,Israel,841
26,NA,213.3167,2011,Jerusalem Marathon,Israel,841
39,NA,213.95,2011,Jerusalem Marathon,Israel,841
22,NA,214.0167,2011,Jerusalem Marathon,Israel,841
46,NA,214.1167,2011,Jerusalem Marathon,Israel,841
28,NA,214.4333,2011,Jerusalem Marathon,Israel,841
46,NA,214.45,2011,Jerusalem Marathon,Israel,841
57,NA,214.4833,2011,Jerusalem Marathon,Israel,841
44,NA,214.6667,2011,Jerusalem Marathon,Israel,841
39,NA,214.6833,2011,Jerusalem Marathon,Israel,841
38,NA,214.7,2011,Jerusalem Marathon,Israel,841
38,NA,214.8333,2011,Jerusalem Marathon,Israel,841
33,NA,214.8333,2011,Jerusalem Marathon,Israel,841
37,NA,214.9333,2011,Jerusalem Marathon,Israel,841
43,NA,215.0667,2011,Jerusalem Marathon,Israel,841
40,NA,215.1167,2011,Jerusalem Marathon,Israel,841
58,NA,215.1167,2011,Jerusalem Marathon,Israel,841
54,NA,215.3333,2011,Jerusalem Marathon,Israel,841
54,NA,215.5333,2011,Jerusalem Marathon,Israel,841
37,NA,215.5833,2011,Jerusalem Marathon,Israel,841
44,NA,215.65,2011,Jerusalem Marathon,Israel,841
34,NA,215.7833,2011,Jerusalem Marathon,Israel,841
40,NA,215.95,2011,Jerusalem Marathon,Israel,841
38,NA,215.9667,2011,Jerusalem Marathon,Israel,841
38,NA,215.9833,2011,Jerusalem Marathon,Israel,841
50,NA,216,2011,Jerusalem Marathon,Israel,841
36,NA,216.1333,2011,Jerusalem Marathon,Israel,841
50,NA,216.2333,2011,Jerusalem Marathon,Israel,841
40,NA,216.2833,2011,Jerusalem Marathon,Israel,841
33,NA,216.3833,2011,Jerusalem Marathon,Israel,841
46,NA,216.9833,2011,Jerusalem Marathon,Israel,841
51,NA,217.1333,2011,Jerusalem Marathon,Israel,841
45,NA,217.25,2011,Jerusalem Marathon,Israel,841
51,NA,217.4167,2011,Jerusalem Marathon,Israel,841
46,NA,217.4167,2011,Jerusalem Marathon,Israel,841
55,NA,217.8,2011,Jerusalem Marathon,Israel,841
41,NA,218.05,2011,Jerusalem Marathon,Israel,841
50,NA,218.6667,2011,Jerusalem Marathon,Israel,841
42,NA,219.0167,2011,Jerusalem Marathon,Israel,841
54,NA,219.1167,2011,Jerusalem Marathon,Israel,841
23,NA,219.1667,2011,Jerusalem Marathon,Israel,841
45,NA,219.2833,2011,Jerusalem Marathon,Israel,841
46,NA,219.3,2011,Jerusalem Marathon,Israel,841
59,NA,219.3,2011,Jerusalem Marathon,Israel,841
47,NA,219.4167,2011,Jerusalem Marathon,Israel,841
51,NA,219.4167,2011,Jerusalem Marathon,Israel,841
44,NA,219.5667,2011,Jerusalem Marathon,Israel,841
20,NA,219.8167,2011,Jerusalem Marathon,Israel,841
41,NA,219.9333,2011,Jerusalem Marathon,Israel,841
27,NA,219.9833,2011,Jerusalem Marathon,Israel,841
44,NA,220.2167,2011,Jerusalem Marathon,Israel,841
30,NA,220.4333,2011,Jerusalem Marathon,Israel,841
34,NA,220.4667,2011,Jerusalem Marathon,Israel,841
38,NA,220.5333,2011,Jerusalem Marathon,Israel,841
22,NA,221.0333,2011,Jerusalem Marathon,Israel,841
44,NA,221.25,2011,Jerusalem Marathon,Israel,841
47,NA,221.45,2011,Jerusalem Marathon,Israel,841
49,NA,221.4667,2011,Jerusalem Marathon,Israel,841
54,NA,221.5667,2011,Jerusalem Marathon,Israel,841
27,NA,221.7333,2011,Jerusalem Marathon,Israel,841
24,NA,221.8,2011,Jerusalem Marathon,Israel,841
25,NA,222.2,2011,Jerusalem Marathon,Israel,841
46,NA,222.3333,2011,Jerusalem Marathon,Israel,841
52,NA,222.65,2011,Jerusalem Marathon,Israel,841
29,NA,222.8833,2011,Jerusalem Marathon,Israel,841
51,NA,223.05,2011,Jerusalem Marathon,Israel,841
40,NA,223.05,2011,Jerusalem Marathon,Israel,841
56,NA,223.1167,2011,Jerusalem Marathon,Israel,841
42,NA,223.3333,2011,Jerusalem Marathon,Israel,841
61,NA,223.35,2011,Jerusalem Marathon,Israel,841
28,NA,223.35,2011,Jerusalem Marathon,Israel,841
38,NA,223.7,2011,Jerusalem Marathon,Israel,841
51,NA,224.0167,2011,Jerusalem Marathon,Israel,841
35,NA,224.0167,2011,Jerusalem Marathon,Israel,841
42,NA,224.0167,2011,Jerusalem Marathon,Israel,841
54,NA,224.2833,2011,Jerusalem Marathon,Israel,841
29,NA,224.3833,2011,Jerusalem Marathon,Israel,841
55,NA,224.65,2011,Jerusalem Marathon,Israel,841
46,NA,224.8167,2011,Jerusalem Marathon,Israel,841
41,NA,224.8167,2011,Jerusalem Marathon,Israel,841
39,NA,224.85,2011,Jerusalem Marathon,Israel,841
50,NA,224.9167,2011,Jerusalem Marathon,Israel,841
37,NA,225.3333,2011,Jerusalem Marathon,Israel,841
60,NA,225.5833,2011,Jerusalem Marathon,Israel,841
46,NA,225.5833,2011,Jerusalem Marathon,Israel,841
32,NA,225.6,2011,Jerusalem Marathon,Israel,841
30,NA,225.9667,2011,Jerusalem Marathon,Israel,841
40,NA,226.4,2011,Jerusalem Marathon,Israel,841
46,NA,226.6667,2011,Jerusalem Marathon,Israel,841
46,NA,226.6833,2011,Jerusalem Marathon,Israel,841
42,NA,226.8333,2011,Jerusalem Marathon,Israel,841
49,NA,227.25,2011,Jerusalem Marathon,Israel,841
36,NA,227.3,2011,Jerusalem Marathon,Israel,841
34,NA,227.7167,2011,Jerusalem Marathon,Israel,841
44,NA,227.7667,2011,Jerusalem Marathon,Israel,841
44,NA,228.05,2011,Jerusalem Marathon,Israel,841
46,NA,228.2833,2011,Jerusalem Marathon,Israel,841
20,NA,228.5667,2011,Jerusalem Marathon,Israel,841
54,NA,228.6,2011,Jerusalem Marathon,Israel,841
44,NA,228.7167,2011,Jerusalem Marathon,Israel,841
54,NA,229.1333,2011,Jerusalem Marathon,Israel,841
35,NA,229.5333,2011,Jerusalem Marathon,Israel,841
45,NA,229.75,2011,Jerusalem Marathon,Israel,841
45,NA,229.8167,2011,Jerusalem Marathon,Israel,841
37,NA,229.8667,2011,Jerusalem Marathon,Israel,841
46,NA,229.9,2011,Jerusalem Marathon,Israel,841
32,NA,230.05,2011,Jerusalem Marathon,Israel,841
29,NA,230.0667,2011,Jerusalem Marathon,Israel,841
60,NA,230.1167,2011,Jerusalem Marathon,Israel,841
42,NA,230.35,2011,Jerusalem Marathon,Israel,841
32,NA,230.95,2011,Jerusalem Marathon,Israel,841
50,NA,231.0167,2011,Jerusalem Marathon,Israel,841
45,NA,231.0333,2011,Jerusalem Marathon,Israel,841
57,NA,231.1,2011,Jerusalem Marathon,Israel,841
50,NA,231.15,2011,Jerusalem Marathon,Israel,841
43,NA,231.2333,2011,Jerusalem Marathon,Israel,841
21,NA,231.2667,2011,Jerusalem Marathon,Israel,841
61,NA,231.5167,2011,Jerusalem Marathon,Israel,841
55,NA,231.5333,2011,Jerusalem Marathon,Israel,841
40,NA,231.5667,2011,Jerusalem Marathon,Israel,841
47,NA,231.65,2011,Jerusalem Marathon,Israel,841
43,NA,231.75,2011,Jerusalem Marathon,Israel,841
48,NA,231.7667,2011,Jerusalem Marathon,Israel,841
55,NA,231.7667,2011,Jerusalem Marathon,Israel,841
43,NA,231.8167,2011,Jerusalem Marathon,Israel,841
47,NA,231.8333,2011,Jerusalem Marathon,Israel,841
38,NA,232.0167,2011,Jerusalem Marathon,Israel,841
37,NA,232.25,2011,Jerusalem Marathon,Israel,841
36,NA,232.3333,2011,Jerusalem Marathon,Israel,841
44,NA,232.55,2011,Jerusalem Marathon,Israel,841
47,NA,232.75,2011,Jerusalem Marathon,Israel,841
55,NA,232.8167,2011,Jerusalem Marathon,Israel,841
44,NA,232.8333,2011,Jerusalem Marathon,Israel,841
38,NA,232.8833,2011,Jerusalem Marathon,Israel,841
50,NA,232.9333,2011,Jerusalem Marathon,Israel,841
53,NA,232.9667,2011,Jerusalem Marathon,Israel,841
49,NA,232.9667,2011,Jerusalem Marathon,Israel,841
36,NA,233.0833,2011,Jerusalem Marathon,Israel,841
45,NA,233.5667,2011,Jerusalem Marathon,Israel,841
44,NA,233.6833,2011,Jerusalem Marathon,Israel,841
39,NA,233.7333,2011,Jerusalem Marathon,Israel,841
19,NA,233.8,2011,Jerusalem Marathon,Israel,841
46,NA,233.9,2011,Jerusalem Marathon,Israel,841
36,NA,234.1333,2011,Jerusalem Marathon,Israel,841
36,NA,234.1833,2011,Jerusalem Marathon,Israel,841
28,NA,234.2667,2011,Jerusalem Marathon,Israel,841
42,NA,234.3833,2011,Jerusalem Marathon,Israel,841
43,NA,234.6,2011,Jerusalem Marathon,Israel,841
34,NA,234.7167,2011,Jerusalem Marathon,Israel,841
60,NA,234.75,2011,Jerusalem Marathon,Israel,841
38,NA,234.7667,2011,Jerusalem Marathon,Israel,841
51,NA,234.8667,2011,Jerusalem Marathon,Israel,841
44,NA,234.8833,2011,Jerusalem Marathon,Israel,841
46,NA,234.9167,2011,Jerusalem Marathon,Israel,841
58,NA,235.15,2011,Jerusalem Marathon,Israel,841
44,NA,235.25,2011,Jerusalem Marathon,Israel,841
36,NA,235.3,2011,Jerusalem Marathon,Israel,841
47,NA,235.4333,2011,Jerusalem Marathon,Israel,841
52,NA,235.65,2011,Jerusalem Marathon,Israel,841
44,NA,235.6667,2011,Jerusalem Marathon,Israel,841
55,NA,235.8667,2011,Jerusalem Marathon,Israel,841
43,NA,235.9333,2011,Jerusalem Marathon,Israel,841
37,NA,236.0333,2011,Jerusalem Marathon,Israel,841
65,NA,236.05,2011,Jerusalem Marathon,Israel,841
38,NA,236.1333,2011,Jerusalem Marathon,Israel,841
48,NA,236.3,2011,Jerusalem Marathon,Israel,841
42,NA,236.6,2011,Jerusalem Marathon,Israel,841
25,NA,236.65,2011,Jerusalem Marathon,Israel,841
47,NA,236.8667,2011,Jerusalem Marathon,Israel,841
31,NA,237.0167,2011,Jerusalem Marathon,Israel,841
21,NA,237.0167,2011,Jerusalem Marathon,Israel,841
41,NA,237.0833,2011,Jerusalem Marathon,Israel,841
51,NA,237.3667,2011,Jerusalem Marathon,Israel,841
35,NA,237.45,2011,Jerusalem Marathon,Israel,841
58,NA,237.4833,2011,Jerusalem Marathon,Israel,841
50,NA,237.7,2011,Jerusalem Marathon,Israel,841
38,NA,237.7333,2011,Jerusalem Marathon,Israel,841
45,NA,237.7667,2011,Jerusalem Marathon,Israel,841
40,NA,237.7833,2011,Jerusalem Marathon,Israel,841
40,NA,237.7833,2011,Jerusalem Marathon,Israel,841
48,NA,237.8,2011,Jerusalem Marathon,Israel,841
48,NA,237.8,2011,Jerusalem Marathon,Israel,841
37,NA,238,2011,Jerusalem Marathon,Israel,841
34,NA,238.0167,2011,Jerusalem Marathon,Israel,841
50,NA,238.05,2011,Jerusalem Marathon,Israel,841
64,NA,238.1,2011,Jerusalem Marathon,Israel,841
22,NA,238.1167,2011,Jerusalem Marathon,Israel,841
57,NA,238.15,2011,Jerusalem Marathon,Israel,841
53,NA,238.1667,2011,Jerusalem Marathon,Israel,841
46,NA,238.1667,2011,Jerusalem Marathon,Israel,841
40,NA,238.7833,2011,Jerusalem Marathon,Israel,841
42,NA,238.8833,2011,Jerusalem Marathon,Israel,841
45,NA,239.0167,2011,Jerusalem Marathon,Israel,841
37,NA,239.2667,2011,Jerusalem Marathon,Israel,841
46,NA,239.3833,2011,Jerusalem Marathon,Israel,841
52,NA,239.4167,2011,Jerusalem Marathon,Israel,841
53,NA,239.4167,2011,Jerusalem Marathon,Israel,841
56,NA,239.4167,2011,Jerusalem Marathon,Israel,841
53,NA,239.5333,2011,Jerusalem Marathon,Israel,841
55,NA,239.6333,2011,Jerusalem Marathon,Israel,841
43,NA,239.9,2011,Jerusalem Marathon,Israel,841
50,NA,240.1167,2011,Jerusalem Marathon,Israel,841
42,NA,240.5833,2011,Jerusalem Marathon,Israel,841
19,NA,240.7333,2011,Jerusalem Marathon,Israel,841
31,NA,240.7667,2011,Jerusalem Marathon,Israel,841
56,NA,240.8,2011,Jerusalem Marathon,Israel,841
41,NA,240.8167,2011,Jerusalem Marathon,Israel,841
30,NA,240.8167,2011,Jerusalem Marathon,Israel,841
47,NA,240.9,2011,Jerusalem Marathon,Israel,841
47,NA,240.95,2011,Jerusalem Marathon,Israel,841
30,NA,241,2011,Jerusalem Marathon,Israel,841
24,NA,241.0167,2011,Jerusalem Marathon,Israel,841
45,NA,241.0333,2011,Jerusalem Marathon,Israel,841
42,NA,241.1,2011,Jerusalem Marathon,Israel,841
50,NA,241.2,2011,Jerusalem Marathon,Israel,841
42,NA,241.2833,2011,Jerusalem Marathon,Israel,841
46,NA,241.3833,2011,Jerusalem Marathon,Israel,841
35,NA,241.65,2011,Jerusalem Marathon,Israel,841
38,NA,241.7167,2011,Jerusalem Marathon,Israel,841
52,NA,242.0167,2011,Jerusalem Marathon,Israel,841
33,NA,242.1,2011,Jerusalem Marathon,Israel,841
50,NA,242.1,2011,Jerusalem Marathon,Israel,841
40,NA,242.25,2011,Jerusalem Marathon,Israel,841
51,NA,242.4667,2011,Jerusalem Marathon,Israel,841
55,NA,242.55,2011,Jerusalem Marathon,Israel,841
38,NA,242.5667,2011,Jerusalem Marathon,Israel,841
38,NA,242.65,2011,Jerusalem Marathon,Israel,841
42,NA,242.9333,2011,Jerusalem Marathon,Israel,841
42,NA,243,2011,Jerusalem Marathon,Israel,841
60,NA,243.0833,2011,Jerusalem Marathon,Israel,841
48,NA,243.0833,2011,Jerusalem Marathon,Israel,841
52,NA,243.1,2011,Jerusalem Marathon,Israel,841
51,NA,243.1167,2011,Jerusalem Marathon,Israel,841
58,NA,243.15,2011,Jerusalem Marathon,Israel,841
46,NA,243.1667,2011,Jerusalem Marathon,Israel,841
40,NA,243.4833,2011,Jerusalem Marathon,Israel,841
48,NA,243.5167,2011,Jerusalem Marathon,Israel,841
50,NA,243.6667,2011,Jerusalem Marathon,Israel,841
24,NA,243.7167,2011,Jerusalem Marathon,Israel,841
24,NA,243.7333,2011,Jerusalem Marathon,Israel,841
44,NA,243.75,2011,Jerusalem Marathon,Israel,841
29,NA,244.05,2011,Jerusalem Marathon,Israel,841
34,NA,244.1333,2011,Jerusalem Marathon,Israel,841
63,NA,244.1833,2011,Jerusalem Marathon,Israel,841
47,NA,244.8,2011,Jerusalem Marathon,Israel,841
39,NA,244.8333,2011,Jerusalem Marathon,Israel,841
25,NA,244.8667,2011,Jerusalem Marathon,Israel,841
54,NA,245.3833,2011,Jerusalem Marathon,Israel,841
41,NA,245.55,2011,Jerusalem Marathon,Israel,841
44,NA,245.5667,2011,Jerusalem Marathon,Israel,841
35,NA,245.85,2011,Jerusalem Marathon,Israel,841
51,NA,245.8833,2011,Jerusalem Marathon,Israel,841
27,NA,246.0833,2011,Jerusalem Marathon,Israel,841
60,NA,246.2833,2011,Jerusalem Marathon,Israel,841
55,NA,246.65,2011,Jerusalem Marathon,Israel,841
42,NA,246.85,2011,Jerusalem Marathon,Israel,841
36,NA,247.3333,2011,Jerusalem Marathon,Israel,841
31,NA,247.4,2011,Jerusalem Marathon,Israel,841
31,NA,247.45,2011,Jerusalem Marathon,Israel,841
44,NA,247.6333,2011,Jerusalem Marathon,Israel,841
52,NA,247.8333,2011,Jerusalem Marathon,Israel,841
43,NA,247.9167,2011,Jerusalem Marathon,Israel,841
30,NA,247.9833,2011,Jerusalem Marathon,Israel,841
48,NA,248.0167,2011,Jerusalem Marathon,Israel,841
53,NA,248.2333,2011,Jerusalem Marathon,Israel,841
62,NA,248.3833,2011,Jerusalem Marathon,Israel,841
49,NA,248.4333,2011,Jerusalem Marathon,Israel,841
37,NA,248.55,2011,Jerusalem Marathon,Israel,841
25,NA,248.5833,2011,Jerusalem Marathon,Israel,841
56,NA,248.7833,2011,Jerusalem Marathon,Israel,841
50,NA,248.9,2011,Jerusalem Marathon,Israel,841
24,NA,248.95,2011,Jerusalem Marathon,Israel,841
59,NA,249.1667,2011,Jerusalem Marathon,Israel,841
40,NA,249.2833,2011,Jerusalem Marathon,Israel,841
36,NA,249.3333,2011,Jerusalem Marathon,Israel,841
52,NA,249.5,2011,Jerusalem Marathon,Israel,841
54,NA,249.75,2011,Jerusalem Marathon,Israel,841
34,NA,250.1,2011,Jerusalem Marathon,Israel,841
26,NA,250.15,2011,Jerusalem Marathon,Israel,841
59,NA,250.1833,2011,Jerusalem Marathon,Israel,841
30,NA,250.3333,2011,Jerusalem Marathon,Israel,841
44,NA,250.6833,2011,Jerusalem Marathon,Israel,841
42,NA,250.7333,2011,Jerusalem Marathon,Israel,841
34,NA,250.9333,2011,Jerusalem Marathon,Israel,841
67,NA,250.9833,2011,Jerusalem Marathon,Israel,841
63,NA,251.2333,2011,Jerusalem Marathon,Israel,841
51,NA,251.2667,2011,Jerusalem Marathon,Israel,841
51,NA,251.4,2011,Jerusalem Marathon,Israel,841
41,NA,251.5667,2011,Jerusalem Marathon,Israel,841
46,NA,251.75,2011,Jerusalem Marathon,Israel,841
46,NA,251.75,2011,Jerusalem Marathon,Israel,841
31,NA,251.7667,2011,Jerusalem Marathon,Israel,841
54,NA,251.7833,2011,Jerusalem Marathon,Israel,841
44,NA,251.8667,2011,Jerusalem Marathon,Israel,841
48,NA,251.9,2011,Jerusalem Marathon,Israel,841
32,NA,251.95,2011,Jerusalem Marathon,Israel,841
40,NA,251.9833,2011,Jerusalem Marathon,Israel,841
45,NA,252.2,2011,Jerusalem Marathon,Israel,841
42,NA,252.2167,2011,Jerusalem Marathon,Israel,841
42,NA,252.2167,2011,Jerusalem Marathon,Israel,841
57,NA,252.25,2011,Jerusalem Marathon,Israel,841
33,NA,252.4667,2011,Jerusalem Marathon,Israel,841
50,NA,252.4667,2011,Jerusalem Marathon,Israel,841
42,NA,252.4833,2011,Jerusalem Marathon,Israel,841
52,NA,252.6,2011,Jerusalem Marathon,Israel,841
55,NA,252.8,2011,Jerusalem Marathon,Israel,841
63,NA,253.55,2011,Jerusalem Marathon,Israel,841
32,NA,253.5833,2011,Jerusalem Marathon,Israel,841
20,NA,253.6333,2011,Jerusalem Marathon,Israel,841
39,NA,253.65,2011,Jerusalem Marathon,Israel,841
53,NA,253.65,2011,Jerusalem Marathon,Israel,841
19,NA,253.6833,2011,Jerusalem Marathon,Israel,841
40,NA,253.7667,2011,Jerusalem Marathon,Israel,841
38,NA,253.9,2011,Jerusalem Marathon,Israel,841
38,NA,253.9167,2011,Jerusalem Marathon,Israel,841
50,NA,253.95,2011,Jerusalem Marathon,Israel,841
56,NA,253.9833,2011,Jerusalem Marathon,Israel,841
24,NA,254.2,2011,Jerusalem Marathon,Israel,841
36,NA,254.4167,2011,Jerusalem Marathon,Israel,841
37,NA,254.4167,2011,Jerusalem Marathon,Israel,841
43,NA,254.4167,2011,Jerusalem Marathon,Israel,841
50,NA,254.6333,2011,Jerusalem Marathon,Israel,841
34,NA,254.65,2011,Jerusalem Marathon,Israel,841
22,NA,254.7,2011,Jerusalem Marathon,Israel,841
48,NA,254.7333,2011,Jerusalem Marathon,Israel,841
50,NA,254.7333,2011,Jerusalem Marathon,Israel,841
44,NA,254.7333,2011,Jerusalem Marathon,Israel,841
35,NA,254.8,2011,Jerusalem Marathon,Israel,841
46,NA,254.8,2011,Jerusalem Marathon,Israel,841
41,NA,255.0333,2011,Jerusalem Marathon,Israel,841
