number,first,last
11935,1,5
25500,2,0
50,5,0
8640,8,0
6498,6,8
12175,1,5
13394,1,4
6117,6,7
12552,1,2
14900,1,0
14900,1,0
14900,1,0
4995,4,5
17663,1,3
18050,1,0
42600,4,0
1997,1,7
92525,9,5
53700,5,0
279,2,9
2400,2,0
15790,1,0
2000,2,0
29000,2,0
9985,9,5
2500,2,0
4995,4,5
1.377,1,7
39900,3,0
1000,1,0
5091,5,1
362,3,2
1.47,1,7
1678,1,8
5646,5,6
8059,8,9
13180,1,0
58131,5,1
3507,3,7
3316,3,6
10549,1,9
1970,1,0
3396,3,6
19017,1,7
98840,9,0
905,9,5
4768,4,8
3000,3,0
6000,6,0
8250,8,0
8833,8,3
2.42193,2,3
674,6,4
7000,7,0
1.4,1,4
30498,3,8
19999,1,9
2.5,2,5
2.11443,2,3
1275,1,5
3381,3,1
6500,6,0
6340,6,0
2888,2,8
51196,5,6
2.24845,2,5
21000,2,0
4102,4,2
1997,1,7
1427,1,7
10375,1,5
362,3,2
4395,4,5
362,3,2
25891,2,1
1152,1,2
76246,7,6
6000,6,0
1.25208,1,8
66600,6,0
93807,9,7
13995,1,5
662,6,2
19165,1,5
362,3,2
3705,3,5
3088,3,8
1.4749999999999999,1,5
20700,2,0
1.536,1,6
1.118,1,8
2995,2,5
1540,1,0
42900,4,0
1590,1,0
5794,5,4
1.874,1,4
1200,1,0
4178,4,8
3179,3,9
3970,3,0
763,7,3
2500,2,0
26973,2,3
500,5,0
13500,1,0
5000,5,0
29999,2,9
1.582,1,2
19500,1,0
66300,6,0
535,5,5
7431,7,1
460,4,0
2.4759999999999995,2,6
23692,2,2
1.6643800000000002,1,8
7068,7,8
22250,2,0
59676,5,6
16126,1,6
95433,9,3
3679,3,9
10122,1,2
35768,3,8
43000,4,0
6000,6,0
1.10184,1,4
19530,1,0
42585,4,5
11600,1,0
11800,1,0
7100,7,0
6019,6,9
30299,3,9
31438,3,8
42137,4,7
587,5,7
87944,8,4
7728,7,8
6091,6,1
20000,2,0
4.19506,4,6
4568,4,8
5066,5,6
25110,2,0
2195,2,5
30800,3,0
6490,6,0
31100,3,0
367,3,7
26722,2,2
3598,3,8
42145,4,5
23424,2,4
10500,1,0
15999,1,9
24900,2,0
500,5,0
1.0665,1,5
47245,4,5
7402,7,2
14800,1,0
2.062,2,2
84740,8,0
10390,1,0
15260,1,0
34298,3,8
44900,4,0
6600,6,0
11056,1,6
4701,4,1
30700,3,0
5088,5,8
95600,9,0
1.251,1,1
12100,1,0
5129,5,9
39785,3,5
2.062,2,2
38500,3,0
5445,5,5
7120,7,0
34500,3,0
24749,2,9
36400,3,0
9559,9,9
2.15,2,5
84840,8,0
1.41401,1,1
3999,3,9
7490,7,0
6428,6,8
6428,6,8
7893,7,3
77700,7,0
75608,7,8
1.53227,1,7
45260,4,0
6166,6,6
2625,2,5
36000,3,0
42500,4,0
30731,3,1
30139,3,9
10475,1,5
10490,1,0
26497,2,7
25659,2,9
69998,6,8
5439,5,9
19398,1,8
55348,5,8
7800,7,0
14305,1,5
7400,7,0
1.4749999999999999,1,5
3170,3,0
10759,1,9
7732,7,2
3720,3,0
14098,1,8
1.14997,1,7
42099,4,9
2700,2,0
18596,1,6
1.795,1,5
1800,1,0
13771,1,1
61386,6,6
1.8804,1,4
22695,2,5
4845,4,5
4200,4,0
62200,6,0
7175,7,5
14723,1,3
1.9128999999999998,1,9
1000,1,0
3999,3,9
9346,9,6
1.31695,1,5
8137,8,7
18760,1,0
41100,4,0
2350,2,0
7855,7,5
2.135,2,5
6033,6,3
20000,2,0
2300,2,0
10000,1,0
10000,1,0
10000,1,0
2200,2,0
3525,3,5
5023,5,3
50604,5,4
199,1,9
2989,2,9
42000,4,0
35500,3,0
59700,5,0
11485,1,5
695,6,5
20586,2,6
1.098,1,8
1.4949999999999999,1,5
9996,9,6
60000,6,0
3494,3,4
13995,1,5
1.06652,1,2
26450,2,0
21719,2,9
39730,3,0
1.087,1,7
33000,3,0
4160,4,0
39990,3,0
38000,3,0
19785,1,5
30900,3,0
71755,7,5
1790,1,0
39104,3,4
1700,1,0
1759,1,9
1759,1,9
1864,1,4
1969,1,9
2468,2,8
1759,1,9
2922,2,2
18072,1,2
21500,2,0
20000,2,0
6260,6,0
6100,6,0
54900,5,0
1.18086,1,6
9500,9,0
5281,5,1
36000,3,0
49500,4,0
3970,3,0
3596,3,6
90546,9,6
28764,2,4
2146,2,6
3418,3,8
1.3148,1,8
6114,6,4
32475,3,5
14220,1,0
1.57,1,7
623,6,3
1500,1,0
9625,9,5
16708,1,8
30604,3,4
29755,2,5
31394,3,4
6995,6,5
3178,3,8
83363,8,3
1.1400000000000001,1,4
46000,4,0
1.7789,1,9
8800,8,0
1.21,1,1
11042,1,2
54343,5,3
2.195,2,5
5954,5,4
595,5,5
957,9,7
10400,1,0
1957,1,7
19334,1,4
21186,2,6
13180,1,0
13180,1,0
2490,2,0
3950,3,0
1.09,1,9
9269,9,9
8000,8,0
74126,7,6
5900,5,0
3995,3,5
17350,1,0
56117,5,7
2925,2,5
2265,2,5
86076,8,6
65360,6,0
2.249,2,9
13200,1,0
87060,8,0
79998,7,8
2.404,2,4
34000,3,0
1995,1,5
61017,6,7
2756,2,6
2049,2,9
38700,3,0
7330,7,0
367,3,7
367,3,7
367,3,7
367,3,7
374,3,4
374,3,4
380,3,0
380,3,0
380,3,0
380,3,0
380,3,0
380,3,0
380,3,0
380,3,0
380,3,0
380,3,0
380,3,0
385,3,5
385,3,5
385,3,5
385,3,5
385,3,5
385,3,5
385,3,5
385,3,5
385,3,5
385,3,5
385,3,5
385,3,5
385,3,5
385,3,5
385,3,5
385,3,5
385,3,5
385,3,5
437,4,7
1400,1,0
362,3,2
362,3,2
6146,6,6
6903,6,3
21277,2,7
4100,4,0
62865,6,5
27395,2,5
27200,2,0
50475,5,5
367,3,7
1288,1,8
362,3,2
10000,1,0
10000,1,0
30000,3,0
20520,2,0
75670,7,0
45000,4,0
1.79246,1,6
57859,5,9
19980,1,0
2068,2,8
362,3,2
17934,1,4
17997,1,7
13995,1,5
6080,6,0
6015,6,5
18450,1,0
39900,3,0
26400,2,0
20076,2,6
38755,3,5
54990,5,0
8300,8,0
42500,4,0
3297,3,7
10690,1,0
69872,6,2
10596,1,6
1.12,1,2
16899,1,9
1111,1,1
37942,3,2
48150,4,0
84954,8,4
55913,5,3
19320,1,0
2.3554199999999996,2,2
5562,5,2
10144,1,4
4799,4,9
2.02248,2,8
14552,1,2
1186,1,6
65070,6,0
2.408,2,8
7767,7,7
1434,1,4
1.7943,1,3
40975,4,5
2.045,2,5
31810,3,0
19608,1,8
76400,7,0
5600,5,0
13998,1,8
362,3,2
362,3,2
362,3,2
56550,5,0
6800,6,0
26.91,2,1
17628,1,8
5890,5,0
1650,1,0
80100,8,0
8064,8,4
6836,6,6
4796,4,6
93593,9,3
2992,2,2
34045,3,5
1296,1,6
7999,7,9
96250,9,0
4845,4,5
18477,1,7
31245,3,5
30000,3,0
50000,5,0
1.9949999999999999,1,5
2.385,2,5
57410,5,0
9375,9,5
68768,6,8
14450,1,0
66400,6,0
8614,8,4
13023,1,3
1587,1,7
52975,5,5
58117,5,7
720,7,0
880,8,0
2306,2,6
40936,4,6
11896,1,6
3398,3,8
9600,9,0
24990,2,0
10368,1,8
10847,1,7
4735,4,5
54900,5,0
54900,5,0
1.7,1,7
42500,4,0
99498,9,8
7403,7,3
600,6,0
1.79,1,9
16995,1,5
7998,7,8
3774,3,4
1.0143,1,3
3799,3,9
72799,7,9
5000,5,0
95679,9,9
4513,4,3
33505,3,5
54519,5,9
59400,5,0
1.414,1,4
39747,3,7
17643,1,3
24000,2,0
6500,6,0
4125,4,5
22940,2,0
27695,2,5
2885,2,5
26864,2,4
16998,1,8
3995,3,5
3200,3,0
14100,1,0
99171,9,1
2.4979999999999998,2,8
2.3763699999999996,2,7
8500,8,0
1.365,1,5
1.4669999999999999,1,7
15014,1,4
48618,4,8
4897,4,7
58305,5,5
1588,1,8
11200,1,0
1484,1,4
12400,1,0
19911,1,1
1258,1,8
1098,1,8
410,4,0
1788,1,8
14500,1,0
19161,1,1
2.15,2,5
2400,2,0
14423,1,3
56254,5,4
59600,5,0
27027,2,7
1.5315299999999998,1,3
16376,1,6
40500,4,0
79490,7,0
41752,4,2
4767,4,7
1.7155899999999997,1,9
24252,2,2
2016,2,6
3800,3,0
70482,7,2
2000,2,0
2400,2,0
6975,6,5
3750,3,0
11080,1,0
9000,9,0
1.01365,1,5
5089,5,9
3002,3,2
12700,1,0
38052,3,2
40895,4,5
10051,1,1
9828,9,8
14742,1,2
5042,5,2
65000,6,0
30780,3,0
6105,6,5
6200,6,0
19832,1,2
7524,7,4
1500,1,0
1.014,1,4
77500,7,0
1.59261,1,1
