region,candidate,number,first,last
Kerman,Total votes,1505814,1,4
Kerman,Invalid votes,10125,1,5
Kerman,Valid votes,1495689,1,9
Kerman,Eligible voters,1738280,1,0
Kermanshah,Ahmadinejad,573568,5,8
Kermanshah,Rezai,11258,1,8
Kermanshah,Karrubi,10798,1,8
Kermanshah,Mousavi,374188,3,8
Kermanshah,Total votes,983422,9,2
Kermanshah,Invalid votes,13610,1,0
Kermanshah,Valid votes,969812,9,2
Kermanshah,Eligible voters,1231672,1,2
Kohgiluyeh & Boyer-Ahmad,Ahmadinejad,253962,2,2
Kohgiluyeh & Boyer-Ahmad,Rezai,8542,8,2
Kohgiluyeh & Boyer-Ahmad,Karrubi,4274,4,4
Kohgiluyeh & Boyer-Ahmad,Mousavi,98937,9,7
Kohgiluyeh & Boyer-Ahmad,Total votes,368707,3,7
Kohgiluyeh & Boyer-Ahmad,Invalid votes,2992,2,2
Kohgiluyeh & Boyer-Ahmad,Valid votes,365715,3,5
Kohgiluyeh & Boyer-Ahmad,Eligible voters,415694,4,4
Golestan,Ahmadinejad,515211,5,1
Golestan,Rezai,5987,5,7
Golestan,Karrubi,10097,1,7
Golestan,Mousavi,325806,3,6
Golestan,Total votes,869453,8,3
Golestan,Invalid votes,12352,1,2
Golestan,Valid votes,857101,8,1
Golestan,Eligible voters,1059769,1,9
Gilan,Ahmadinejad,998573,9,3
Gilan,Rezai,12022,1,2
Gilan,Karrubi,7183,7,3
Gilan,Mousavi,453806,4,6
Gilan,Total votes,1483258,1,8
Gilan,Invalid votes,11674,1,4
Gilan,Valid votes,1471584,1,4
Gilan,Eligible voters,1576046,1,6
Lorestan,Ahmadinejad,677829,6,9
Lorestan,Rezai,14920,1,0
Lorestan,Karrubi,44036,4,6
Lorestan,Mousavi,219156,2,6
Lorestan,Total votes,964270,9,0
Lorestan,Invalid votes,8329,8,9
Lorestan,Valid votes,955941,9,1
Lorestan,Eligible voters,1124940,1,0
Mazandaran,Ahmadinejad,1289257,1,7
Mazandaran,Rezai,19587,1,7
Mazandaran,Karrubi,10050,1,0
Mazandaran,Mousavi,585373,5,3
Mazandaran,Total votes,1919838,1,8
Mazandaran,Invalid votes,15571,1,1
Mazandaran,Valid votes,1904267,1,7
Mazandaran,Eligible voters,1915240,1,0
Markazi,Ahmadinejad,572988,5,8
Markazi,Rezai,10057,1,7
Markazi,Karrubi,4675,4,5
Markazi,Mousavi,190349,1,9
Markazi,Total votes,785961,7,1
Markazi,Invalid votes,7892,7,2
Markazi,Valid votes,778069,7,9
Markazi,Eligible voters,885557,8,7
Hormozgan,Ahmadinejad,482990,4,0
Hormozgan,Rezai,7237,7,7
Hormozgan,Karrubi,5126,5,6
Hormozgan,Mousavi,241988,2,8
Hormozgan,Total votes,743024,7,4
Hormozgan,Invalid votes,5683,5,3
Hormozgan,Valid votes,737341,7,1
Hormozgan,Eligible voters,919908,9,8
Hamadan,Ahmadinejad,765723,7,3
Hamadan,Rezai,13117,1,7
Hamadan,Karrubi,12032,1,2
Hamadan,Mousavi,218481,2,1
Hamadan,Total votes,1019169,1,9
Hamadan,Invalid votes,9816,9,6
Hamadan,Valid votes,1009353,1,3
Hamadan,Eligible voters,1256250,1,0
Yazd,Ahmadinejad,337178,3,8
Yazd,Rezai,8406,8,6
Yazd,Karrubi,2565,2,5
Yazd,Mousavi,255799,2,9
Yazd,Total votes,609856,6,6
Yazd,Invalid votes,5908,5,8
Yazd,Valid votes,603948,6,8
Yazd,Eligible voters,609341,6,1
