country,city,location,number,first,last
US,Cowiche,"Washington, Yakima",960,9,0
US,Sunday Lake,"Washington, Snohomish",666,6,6
US,Rocky Point,"Washington, Kitsap",1449,1,9
US,Burbank,"Washington, Walla Walla",3398,3,8
US,Lakeland North,"Washington, King",12487,1,7
US,Granite Falls,"Washington, Snohomish",6565,6,5
US,Camas,"Washington, Clark",23331,2,1
US,Skokomish,"Washington, Mason",755,7,5
US,Cusick,"Washington, Pend Oreille",217,2,7
US,Rosalia,"Washington, Whitman",567,5,7
US,Longbranch,"Washington, Pierce",3236,3,6
US,Granger,"Washington, Yakima",3542,3,2
US,North Fort Lewis,"Washington, Pierce",5009,5,9
US,Tampico,"Washington, Yakima",465,4,5
US,Tukwila,"Washington, King",20144,2,4
US,Cathlamet,"Washington, Wahkiakum",553,5,3
US,Wenatchee,"Washington, Chelan",71512,7,2
US,Port Ludlow,"Washington, Jefferson",2642,2,2
US,Castle Rock,"Washington, Cowlitz",2833,2,3
US,Glacier,"Washington, Whatcom",102,1,2
US,Index,"Washington, Snohomish",205,2,5
US,Republic,"Washington, Ferry",1062,1,2
US,Bellevue,"Washington, King",144444,1,4
US,Malo,"Washington, Ferry",72,7,2
US,Anderson Island,"Washington, Pierce",1292,1,2
US,University Place,"Washington, Pierce",33401,3,1
US,Montesano,"Washington, Grays Harbor",8494,8,4
US,Rainier,"Washington, Thurston",2126,2,6
US,Fords Prairie,"Washington, Lewis",1812,1,2
US,Roy,"Washington, Pierce",820,8,0
US,Oso,"Washington, Snohomish",212,2,2
US,Marblemount,"Washington, Skagit",0,0,0
US,Elk Plain,"Washington, Pierce",14280,1,0
US,Burlington,"Washington, Skagit",8783,8,3
US,Bangor Base,"Washington, Kitsap",6358,6,8
US,Beaux Arts Village,"Washington, King",326,3,6
US,Port Gamble Tribal Community,"Washington, Kitsap",920,9,0
US,Olympia,"Washington, Thurston",196078,1,8
US,East Wenatchee,"Washington, Douglas",13983,1,3
US,Addy,"Washington, Stevens",96,9,6
US,Minnehaha,"Washington, Clark",11767,1,7
US,Bryn Mawr-Skyway,"Washington, King",18365,1,5
US,Satsop,"Washington, Grays Harbor",572,5,2
US,Riverbend,"Washington, King",2241,2,1
US,Easton,"Washington, Kittitas",395,3,5
US,Silverdale,"Washington, Kitsap",20664,2,4
US,Napavine,"Washington, Lewis",1893,1,3
US,Lochsloy,"Washington, Snohomish",3188,3,8
US,Ellensburg,"Washington, Kittitas",23471,2,1
US,McKenna,"Washington, Pierce",978,9,8
US,Fairfield,"Washington, Spokane",616,6,6
US,Northwest Stanwood,"Washington, Snohomish",144,1,4
US,Mansfield,"Washington, Douglas",339,3,9
US,Duvall,"Washington, King",7813,7,3
US,Markham,"Washington, Grays Harbor",238,2,8
US,Waller,"Washington, Pierce",8064,8,4
US,Longview,"Washington, Cowlitz",65619,6,9
US,Richland,"Washington, Benton",56243,5,3
US,Rosedale,"Washington, Pierce",4459,4,9
US,Vancouver,"Washington, Clark",175673,1,3
US,Bethel,"Washington, Kitsap",3673,3,3
US,Custer,"Washington, Whatcom",149,1,9
US,Lofall,"Washington, Kitsap",2211,2,1
