city,location,number,first,last
Edneyville,"North Carolina, Henderson",2128,2,8
Mooresville,"North Carolina, Iredell",37820,3,0
Summerfield,"North Carolina, Guilford",11198,1,8
Simpson,"North Carolina, Pitt",483,4,3
Langdon,"North Dakota, Cavalier",1738,1,8
Devils Lake,"North Dakota, Ramsey",7602,7,2
Wolford,"North Dakota, Pierce",34,3,4
Churchs Ferry,"North Dakota, Ramsey",12,1,2
Leith,"North Dakota, Grant",15,1,5
Richardton,"North Dakota, Stark",538,5,8
Mercer,"North Dakota, McLean",95,9,5
Jessie,"North Dakota, Griggs",11,1,1
Bismarck,"North Dakota, Burleigh",97457,9,7
Heimdal,"North Dakota, Wells",4,4,4
East Fairview,"North Dakota, McKenzie",44,4,4
Burlington,"North Dakota, Ward",1206,1,6
Petersburg,"North Dakota, Nelson",175,1,5
Dickinson,"North Dakota, Stark",21935,2,5
Regan,"North Dakota, Burleigh",45,4,5
Calio,"North Dakota, Cavalier",20,2,0
Amenia,"North Dakota, Cass",97,9,7
Hannah,"North Dakota, Cavalier",14,1,4
De Lamere,"North Dakota, Sargent",32,3,2
Golva,"North Dakota, Golden Valley",68,6,8
Lignite,"North Dakota, Burke",230,2,0
Willow City,"North Dakota, Bottineau",162,1,2
Rolette,"North Dakota, Rolette",605,6,5
Casselton,"North Dakota, Cass",2493,2,3
Osnabrock,"North Dakota, Cavalier",124,1,4
Emerado,"North Dakota, Grand Forks",450,4,0
Marion,"North Dakota, LaMoure",131,1,1
Shell Valley,"North Dakota, Rolette",1360,1,0
Inkster,"North Dakota, Grand Forks",49,4,9
Sanborn,"North Dakota, Barnes",180,1,0
Springbrook,"North Dakota, Williams",32,3,2
East Dunseith,"North Dakota, Rolette",505,5,5
Hannaford,"North Dakota, Griggs",120,1,0
Wishek,"North Dakota, McIntosh",935,9,5
Alsen,"North Dakota, Cavalier",32,3,2
Egeland,"North Dakota, Towner",27,2,7
Hankinson,"North Dakota, Richland",891,8,1
Almont,"North Dakota, Morton",122,1,2
Minto,"North Dakota, Walsh",610,6,0
Hettinger,"North Dakota, Adams",1221,1,1
Fessenden,"North Dakota, Wells",452,4,2
Briarwood,"North Dakota, Cass",79,7,9
Hazelton,"North Dakota, Emmons",218,2,8
Bantry,"North Dakota, McHenry",16,1,6
Kindred,"North Dakota, Cass",762,7,2
Leeds,"North Dakota, Benson",455,4,5
Loma,"North Dakota, Cavalier",15,1,5
Manvel,"North Dakota, Grand Forks",372,3,2
Fort Totten,"North Dakota, Benson",1372,1,2
Glenfield,"North Dakota, Foster",88,8,8
Bathgate,"North Dakota, Pembina",59,5,9
Calvin,"North Dakota, Cavalier",18,1,8
Mylo,"North Dakota, Rolette",20,2,0
Ellendale,"North Dakota, Dickey",1184,1,4
White Earth,"North Dakota, Mountrail",91,9,1
Fairmount,"North Dakota, Richland",356,3,6
Reile's Acres,"North Dakota, Cass",611,6,1
Fort Ransom,"North Dakota, Ransom",74,7,4
Crosby,"North Dakota, Divide",1310,1,0
Ludden,"North Dakota, Dickey",21,2,1
Clifford,"North Dakota, Traill",43,4,3
Carrington,"North Dakota, Foster",2014,2,4
Minot,"North Dakota, Ward",49884,4,4
McClusky,"North Dakota, Sheridan",378,3,8
Sarles,"North Dakota, Cavalier",27,2,7
Ayr,"North Dakota, Cass",17,1,7
Tolna,"North Dakota, Nelson",156,1,6
Leonard,"North Dakota, Cass",229,2,9
Northwood,"North Dakota, Grand Forks",902,9,2
Kensal,"North Dakota, Stutsman",156,1,6
Berlin,"North Dakota, LaMoure",37,3,7
Cathay,"North Dakota, Wells",41,4,1
Wahpeton,"North Dakota, Richland",11199,1,9
Dazey,"North Dakota, Barnes",100,1,0
Foxholm,"North Dakota, Ward",39,3,9
Lincoln,"North Dakota, Burleigh",4637,4,7
Des Lacs,"North Dakota, Ward",194,1,4
Gladstone,"North Dakota, Stark",351,3,1
Galesburg,"North Dakota, Traill",104,1,4
Bowbells,"North Dakota, Burke",340,3,0
Porcupine,"North Dakota, Sioux",255,2,5
Epping,"North Dakota, Williams",115,1,5
Niagara,"North Dakota, Grand Forks",52,5,2
Stanton,"North Dakota, Mercer",353,3,3
Reynolds,"North Dakota, Traill",307,3,7
Binford,"North Dakota, Griggs",170,1,0
Gilby,"North Dakota, Grand Forks",232,2,2
Enderlin,"North Dakota, Ransom",847,8,7
Solen,"North Dakota, Sioux",87,8,7
Robinson,"North Dakota, Kidder",48,4,8
St. John,"North Dakota, Rolette",356,3,6
Granville,"North Dakota, McHenry",269,2,9
Beach,"North Dakota, Golden Valley",1065,1,5
Hillsboro,"North Dakota, Traill",1592,1,2
Larimore,"North Dakota, Grand Forks",1286,1,6
Gardner,"North Dakota, Cass",77,7,7
Courtenay,"North Dakota, Stutsman",47,4,7
Barney,"North Dakota, Richland",50,5,0
Grand Forks,"North Dakota, Grand Forks",66159,6,9
Harmon,"North Dakota, Morton",203,2,3
Hatton,"North Dakota, Traill",748,7,8
Canton City,"North Dakota, Pembina",39,3,9
Lidgerwood,"North Dakota, Richland",625,6,5
Turtle Lake,"North Dakota, McLean",575,5,5
Fredonia,"North Dakota, Logan",44,4,4
Auburn,"North Dakota, Walsh",15,1,5
Logan,"North Dakota, Ward",128,1,8
McVille,"North Dakota, Nelson",331,3,1
Hansboro,"North Dakota, Towner",13,1,3
Dunn Center,"North Dakota, Dunn",179,1,9
Wilton,"North Dakota, McLean",723,7,3
Brooktree Park,"North Dakota, Cass",85,8,5
Cooperstown,"North Dakota, Griggs",919,9,9
White Shield,"North Dakota, McLean",288,2,8
Neche,"North Dakota, Pembina",353,3,3
Hunter,"North Dakota, Cass",257,2,7
Hamilton,"North Dakota, Pembina",60,6,0
Rolla,"North Dakota, Rolette",1311,1,1
Loraine,"North Dakota, Renville",9,9,9
Mapleton,"North Dakota, Cass",1034,1,4
Barton,"North Dakota, Pierce",0,0,0
Drake,"North Dakota, McHenry",274,2,4
Belcourt,"North Dakota, Rolette",1933,1,3
Rutland,"North Dakota, Sargent",155,1,5
Sykeston,"North Dakota, Wells",111,1,1
Glen Ullin,"North Dakota, Morton",724,7,4
Portland,"North Dakota, Traill",591,5,1
Makoti,"North Dakota, Ward",148,1,8
Douglas,"North Dakota, Ward",61,6,1
Westhope,"North Dakota, Bottineau",408,4,8
Hague,"North Dakota, Emmons",65,6,5
Kief,"North Dakota, McHenry",14,1,4
Max,"North Dakota, McLean",349,3,9
Fargo,"North Dakota, Cass",204820,2,0
Jamestown,"North Dakota, Stutsman",15244,1,4
Englevale,"North Dakota, Ransom",144,1,4
North River,"North Dakota, Cass",55,5,5
Golden Valley,"North Dakota, Mercer",172,1,2
Fairdale,"North Dakota, Walsh",36,3,6
Lansford,"North Dakota, Bottineau",250,2,0
York,"North Dakota, Benson",23,2,3
Bowman,"North Dakota, Bowman",1659,1,9
Cogswell,"North Dakota, Sargent",96,9,6
Horace,"North Dakota, Cass",2717,2,7
Raleigh,"North Dakota, Grant",10,1,0
Mohall,"North Dakota, Renville",767,7,7
Oxbow,"North Dakota, Cass",307,3,7
Bowdon,"North Dakota, Wells",128,1,8
Pillsbury,"North Dakota, Barnes",11,1,1
Hebron,"North Dakota, Morton",677,6,7
Zap,"North Dakota, Mercer",238,2,8
Sharon,"North Dakota, Steele",92,9,2
Nome,"North Dakota, Barnes",59,5,9
Benedict,"North Dakota, McLean",75,7,5
Pisek,"North Dakota, Walsh",108,1,8
Dunseith,"North Dakota, Rolette",788,7,8
Carson,"North Dakota, Grant",284,2,4
Tuttle,"North Dakota, Kidder",81,8,1
Zeeland,"North Dakota, McIntosh",78,7,8
Edmore,"North Dakota, Ramsey",175,1,5
Milton,"North Dakota, Cavalier",56,5,6
Hampden,"North Dakota, Ramsey",46,4,6
Manning,"North Dakota, Dunn",65,6,5
Maddock,"North Dakota, Benson",387,3,7
Drayton,"North Dakota, Pembina",768,7,8
Velva,"North Dakota, McHenry",1234,1,4
Cavalier,"North Dakota, Pembina",1275,1,5
Flasher,"North Dakota, Morton",211,2,1
Garrison,"North Dakota, McLean",1505,1,5
Frontier,"North Dakota, Cass",216,2,6
Grenora,"North Dakota, Williams",287,2,7
Halliday,"North Dakota, Dunn",197,1,7
Berthold,"North Dakota, Ward",498,4,8
Oakes,"North Dakota, Dickey",1721,1,1
Souris,"North Dakota, Bottineau",53,5,3
Nash,"North Dakota, Walsh",38,3,8
Washburn,"North Dakota, McLean",1283,1,3
Ray,"North Dakota, Williams",780,7,0
Mountain,"North Dakota, Pembina",82,8,2
Linton,"North Dakota, Emmons",1007,1,7
Sherwood,"North Dakota, Renville",243,2,3
Selz,"North Dakota, Pierce",26,2,6
Powers Lake,"North Dakota, Burke",284,2,4
Mandaree,"North Dakota, McKenzie",595,5,5
St. Thomas,"North Dakota, Pembina",311,3,1
Upham,"North Dakota, McHenry",143,1,3
Verona,"North Dakota, LaMoure",88,8,8
Hazen,"North Dakota, Mercer",2372,2,2
Grandin,"North Dakota, Cass",176,1,6
New Leipzig,"North Dakota, Grant",215,2,5
Lankin,"North Dakota, Walsh",92,9,2
Venturia,"North Dakota, McIntosh",12,1,2
Sutton,"North Dakota, Griggs",6,6,6
New Rockford,"North Dakota, Eddy",1356,1,6
Wing,"North Dakota, Burleigh",153,1,3
Pekin,"North Dakota, Nelson",66,6,6
Minot AFB,"North Dakota, Ward",5789,5,9
Surrey,"North Dakota, Ward",1380,1,0
Pick City,"North Dakota, Mercer",139,1,9
Dickey,"North Dakota, LaMoure",41,4,1
Lehr,"North Dakota, McIntosh",73,7,3
Williston,"North Dakota, Williams",26301,2,1
Milnor,"North Dakota, Sargent",636,6,6
Watford City,"North Dakota, McKenzie",6523,6,3
Larson,"North Dakota, Burke",10,1,0
Fullerton,"North Dakota, Dickey",49,4,9
Streeter,"North Dakota, Stutsman",164,1,4
Thompson,"North Dakota, Grand Forks",1010,1,0
Kramer,"North Dakota, Bottineau",29,2,9
Hope,"North Dakota, Steele",256,2,6
Dodge,"North Dakota, Dunn",100,1,0
Amidon,"North Dakota, Slope",22,2,2
Pingree,"North Dakota, Stutsman",60,6,0
McHenry,"North Dakota, Foster",55,5,5
Dahlen,"North Dakota, Nelson",45,4,5
Luverne,"North Dakota, Steele",31,3,1
New Town,"North Dakota, Mountrail",2528,2,8
Ruso,"North Dakota, McLean",4,4,4
Gwinner,"North Dakota, Sargent",873,8,3
Wheatland,"North Dakota, Cass",26,2,6
Towner,"North Dakota, McHenry",545,5,5
Bisbee,"North Dakota, Towner",126,1,6
Lisbon,"North Dakota, Ransom",2073,2,3
Stanley,"North Dakota, Mountrail",2645,2,5
Valley City,"North Dakota, Barnes",6549,6,9
Sibley,"North Dakota, Barnes",28,2,8
Parshall,"North Dakota, Mountrail",1250,1,0
Harvey,"North Dakota, Wells",1725,1,5
Brocket,"North Dakota, Ramsey",55,5,5
Blanchard,"North Dakota, Traill",32,3,2
Pembina,"North Dakota, Pembina",554,5,4
Antler,"North Dakota, Bottineau",28,2,8
Coleharbor,"North Dakota, McLean",86,8,6
Starkweather,"North Dakota, Ramsey",116,1,6
Esmond,"North Dakota, Benson",100,1,0
Pettibone,"North Dakota, Kidder",70,7,0
Hamberg,"North Dakota, Wells",20,2,0
Underwood,"North Dakota, McLean",758,7,8
Alexander,"North Dakota, McKenzie",308,3,8
Butte,"North Dakota, McLean",77,7,7
Caledonia,"North Dakota, Traill",36,3,6
Bucyrus,"North Dakota, Adams",26,2,6
Noonan,"North Dakota, Divide",119,1,9
Brinsmade,"North Dakota, Benson",35,3,5
Lawton,"North Dakota, Ramsey",29,2,9
Ruthville,"North Dakota, Ward",377,3,7
Monango,"North Dakota, Dickey",33,3,3
Regent,"North Dakota, Hettinger",156,1,6
Goodrich,"North Dakota, Sheridan",97,9,7
Steele,"North Dakota, Kidder",716,7,6
Haynes,"North Dakota, Adams",24,2,4
Carpio,"North Dakota, Ward",144,1,4
Newburg,"North Dakota, Bottineau",110,1,0
Lakota,"North Dakota, Nelson",639,6,9
Warwick,"North Dakota, Benson",67,6,7
Harwood,"North Dakota, Cass",808,8,8
Reeder,"North Dakota, Adams",156,1,6
Tolley,"North Dakota, Renville",51,5,1
Kenmare,"North Dakota, Ward",1035,1,5
Rugby,"North Dakota, Pierce",2654,2,4
Wales,"North Dakota, Cavalier",28,2,8
Napoleon,"North Dakota, Logan",776,7,6
Oberon,"North Dakota, Benson",104,1,4
Argusville,"North Dakota, Cass",474,4,4
Four Bears Village,"North Dakota, McKenzie",580,5,0
Davenport,"North Dakota, Cass",257,2,7
Wyndmere,"North Dakota, Richland",412,4,2
Elgin,"North Dakota, Grant",631,6,1
Sheyenne,"North Dakota, Eddy",192,1,2
Maxbass,"North Dakota, Bottineau",82,8,2
Mayville,"North Dakota, Traill",1800,1,0
Mott,"North Dakota, Hettinger",727,7,7
Michigan City,"North Dakota, Nelson",276,2,6
Dawson,"North Dakota, Kidder",63,6,3
Sentinel Butte,"North Dakota, Golden Valley",63,6,3
Fingal,"North Dakota, Barnes",90,9,0
Killdeer,"North Dakota, Dunn",1144,1,4
Tappen,"North Dakota, Kidder",206,2,6
Elliott,"North Dakota, Ransom",25,2,5
Grano,"North Dakota, Renville",9,9,9
Wimbledon,"North Dakota, Barnes",199,1,9
Grafton,"North Dakota, Walsh",4160,4,0
Driscoll,"North Dakota, Burleigh",70,7,0
Portal,"North Dakota, Burke",143,1,3
Deering,"North Dakota, McHenry",121,1,1
Ashley,"North Dakota, McIntosh",689,6,9
Center,"North Dakota, Oliver",584,5,4
Edinburg,"North Dakota, Walsh",187,1,7
Orrin,"North Dakota, Pierce",0,0,0
Riverdale,"North Dakota, McLean",226,2,6
West Fargo,"North Dakota, Cass",35708,3,8
Great Bend,"North Dakota, Richland",60,6,0
Gascoyne,"North Dakota, Bowman",15,1,5
Buchanan,"North Dakota, Stutsman",114,1,4
Fordville,"North Dakota, Walsh",202,2,2
Strasburg,"North Dakota, Emmons",373,3,3
Edgeley,"North Dakota, LaMoure",552,5,2
Rocklake,"North Dakota, Towner",103,1,3
Sheldon,"North Dakota, Ransom",120,1,0
Glenburn,"North Dakota, Renville",462,4,2
Erie,"North Dakota, Cass",75,7,5
Forbes,"North Dakota, Dickey",52,5,2
Perth,"North Dakota, Towner",9,9,9
Buxton,"North Dakota, Traill",315,3,5
Ardoch,"North Dakota, Walsh",77,7,7
Mandan,"North Dakota, Morton",22228,2,8
Ross,"North Dakota, Mountrail",113,1,3
Tioga,"North Dakota, Williams",1499,1,9
Cayuga,"North Dakota, Sargent",26,2,6
Braddock,"North Dakota, Emmons",20,2,0
Munich,"North Dakota, Cavalier",196,1,6
Knox,"North Dakota, Benson",25,2,5
Forman,"North Dakota, Sargent",514,5,4
Fortuna,"North Dakota, Divide",22,2,2
Palermo,"North Dakota, Mountrail",85,8,5
Ambrose,"North Dakota, Divide",27,2,7
Fort Yates,"North Dakota, Sioux",199,1,9
Adams,"North Dakota, Walsh",123,1,3
Christine,"North Dakota, Richland",160,1,0
Alice,"North Dakota, Cass",39,3,9
Alamo,"North Dakota, Williams",69,6,9
Arthur,"North Dakota, Cass",334,3,4
Cannon Ball,"North Dakota, Sioux",931,9,1
Martin,"North Dakota, Sheridan",75,7,5
Cando,"North Dakota, Towner",1102,1,2
Woodworth,"North Dakota, Stutsman",48,4,8
Page,"North Dakota, Cass",238,2,8
Anamoose,"North Dakota, McHenry",247,2,7
Spiritwood,"North Dakota, Stutsman",7,7,7
Walhalla,"North Dakota, Pembina",932,9,2
Cleveland,"North Dakota, Stutsman",83,8,3
Prairie Rose,"North Dakota, Cass",75,7,5
Colfax,"North Dakota, Richland",151,1,1
McLeod,"North Dakota, Ransom",5,5,5
Overly,"North Dakota, Bottineau",18,1,8
Leal,"North Dakota, Barnes",20,2,0
Aneta,"North Dakota, Nelson",205,2,5
Mantador,"North Dakota, Richland",67,6,7
Medora,"North Dakota, Billings",132,1,2
Abercrombie,"North Dakota, Richland",261,2,1
Columbus,"North Dakota, Burke",139,1,9
Flaxton,"North Dakota, Burke",66,6,6
Spiritwood Lake,"North Dakota, Stutsman",97,9,7
New England,"North Dakota, Hettinger",602,6,2
Plaza,"North Dakota, Mountrail",198,1,8
Green Acres,"North Dakota, Rolette",702,7,2
Belfield,"North Dakota, Stark",976,9,6
Dwight,"North Dakota, Richland",82,8,2
Conway,"North Dakota, Walsh",23,2,3
Nekoma,"North Dakota, Cavalier",48,4,8
Montpelier,"North Dakota, Stutsman",87,8,7
Landa,"North Dakota, Bottineau",37,3,7
Donnybrook,"North Dakota, Ward",53,5,3
Bergen,"North Dakota, McHenry",8,8,8
Bottineau,"North Dakota, Bottineau",2255,2,5
Embden,"North Dakota, Cass",37,3,7
Ypsilanti,"North Dakota, Stutsman",92,9,2
Grace City,"North Dakota, Foster",61,6,1
LaMoure,"North Dakota, LaMoure",903,9,3
New Salem,"North Dakota, Morton",938,9,8
Tower City,"North Dakota, Cass",257,2,7
Balta,"North Dakota, Pierce",60,6,0
Arnegard,"North Dakota, McKenzie",152,1,2
Jud,"North Dakota, LaMoure",73,7,3
Walcott,"North Dakota, Richland",242,2,2
Denhoff,"North Dakota, Sheridan",26,2,6
Rogers,"North Dakota, Barnes",43,4,3
Marmarth,"North Dakota, Slope",143,1,3
Heil,"North Dakota, Grant",20,2,0
Crystal,"North Dakota, Pembina",128,1,8
Oriska,"North Dakota, Barnes",120,1,0
Taylor,"North Dakota, Stark",163,1,3
Gackle,"North Dakota, Logan",289,2,9
Kathryn,"North Dakota, Barnes",51,5,1
Grand Forks AFB,"North Dakota, Grand Forks",2922,2,2
Menoken,"North Dakota, Burleigh",80,8,0
Crary,"North Dakota, Ramsey",148,1,8
Sawyer,"North Dakota, Ward",334,3,4
Selfridge,"North Dakota, Sioux",173,1,3
Wildrose,"North Dakota, Williams",131,1,1
Kulm,"North Dakota, LaMoure",334,3,4
Voltaire,"North Dakota, McHenry",46,4,6
Hoople,"North Dakota, Walsh",236,2,6
Balfour,"North Dakota, McHenry",28,2,8
Park River,"North Dakota, Walsh",1375,1,5
Finley,"North Dakota, Steele",425,4,5
Karlsruhe,"North Dakota, McHenry",90,9,0
Mooreton,"North Dakota, Richland",192,1,2
Forest River,"North Dakota, Walsh",121,1,1
Hurdsfield,"North Dakota, Wells",81,8,1
Medina,"North Dakota, Stutsman",299,2,9
Rhame,"North Dakota, Bowman",170,1,0
Beulah,"North Dakota, Mercer",3085,3,5
Minnewaukan,"North Dakota, Benson",229,2,9
Litchville,"North Dakota, Barnes",163,1,3
Havana,"North Dakota, Sargent",71,7,1
Scranton,"North Dakota, Bowman",276,2,6
Ryder,"North Dakota, Ward",79,7,9
Gardena,"North Dakota, Bottineau",29,2,9
Buffalo,"North Dakota, Cass",192,1,2
South Heart,"North Dakota, Stark",410,4,0
Ansley,"Nebraska, Custer",427,4,7
Albion,"Nebraska, Boone",1613,1,3
Hampton,"Nebraska, Hamilton",430,4,0
La Platte,"Nebraska, Sarpy",61,6,1
Nebraska City,"Nebraska, Otoe",7089,7,9
Rising City,"Nebraska, Butler",356,3,6
Bennet,"Nebraska, Lancaster",892,8,2
Dalton,"Nebraska, Cheyenne",299,2,9
Halsey,"Nebraska, Thomas",83,8,3
Abie,"Nebraska, Butler",66,6,6
Bassett,"Nebraska, Rock",575,5,5
Santee,"Nebraska, Knox",341,3,1
Sprague,"Nebraska, Lancaster",151,1,1
Chadron,"Nebraska, Dawes",5324,5,4
Nora,"Nebraska, Nuckolls",20,2,0
Foster,"Nebraska, Pierce",51,5,1
Petersburg,"Nebraska, Boone",323,3,3
Henderson,"Nebraska, York",989,9,9
Deweese,"Nebraska, Clay",63,6,3
Stanton,"Nebraska, Stanton",1522,1,2
Aurora,"Nebraska, Hamilton",4475,4,5
Malmo,"Nebraska, Saunders",114,1,4
Lynch,"Nebraska, Boyd",230,2,0
Cook,"Nebraska, Johnson",312,3,2
Rosalie,"Nebraska, Thurston",165,1,5
Strang,"Nebraska, Fillmore",27,2,7
Gurley,"Nebraska, Cheyenne",202,2,2
Mason City,"Nebraska, Custer",173,1,3
Burwell,"Nebraska, Garfield",1191,1,1
Norfolk,"Nebraska, Madison",27016,2,6
Alma,"Nebraska, Harlan",1169,1,9
Bridgeport,"Nebraska, Morrill",1520,1,0
Morrill,"Nebraska, Scotts Bluff",908,9,8
Wakefield,"Nebraska, Dixon",1395,1,5
Smithfield,"Nebraska, Gosper",54,5,4
Magnet,"Nebraska, Cedar",55,5,5
Dix,"Nebraska, Kimball",241,2,1
Roscoe,"Nebraska, Keith",57,5,7
Wilber,"Nebraska, Saline",1878,1,8
Greeley Center,"Nebraska, Greeley",434,4,4
Daykin,"Nebraska, Jefferson",158,1,8
Mullen,"Nebraska, Hooker",459,4,9
Miller,"Nebraska, Buffalo",135,1,5
Farnam,"Nebraska, Dawson",166,1,6
Crete,"Nebraska, Saline",7148,7,8
Red Cloud,"Nebraska, Webster",925,9,5
Stamford,"Nebraska, Harlan",182,1,2
Maskell,"Nebraska, Dixon",70,7,0
Edison,"Nebraska, Furnas",127,1,7
Filley,"Nebraska, Gage",128,1,8
Beaver Crossing,"Nebraska, Seward",409,4,9
Inglewood,"Nebraska, Dodge",316,3,6
Panama,"Nebraska, Lancaster",281,2,1
Otoe,"Nebraska, Otoe",175,1,5
Liberty,"Nebraska, Gage",74,7,4
Archer,"Nebraska, Merrick",24,2,4
Cordova,"Nebraska, Seward",132,1,2
Stockham,"Nebraska, Hamilton",45,4,5
Oshkosh,"Nebraska, Garden",814,8,4
Ogallala,"Nebraska, Keith",4238,4,8
Palmer,"Nebraska, Merrick",477,4,7
Steele City,"Nebraska, Jefferson",58,5,8
Holmesville,"Nebraska, Gage",19,1,9
Kennard,"Nebraska, Washington",361,3,1
Gandy,"Nebraska, Logan",32,3,2
Venice,"Nebraska, Douglas",74,7,4
Weeping Water,"Nebraska, Cass",1078,1,8
Walthill,"Nebraska, Thurston",796,7,6
Taylor,"Nebraska, Loup",183,1,3
Arcadia,"Nebraska, Valley",307,3,7
Silver Creek,"Nebraska, Merrick",363,3,3
Litchfield,"Nebraska, Sherman",256,2,6
Mitchell,"Nebraska, Scotts Bluff",1660,1,0
Ohiowa,"Nebraska, Fillmore",109,1,9
Stella,"Nebraska, Richardson",144,1,4
Franklin,"Nebraska, Franklin",919,9,9
Ashland,"Nebraska, Saunders",2756,2,6
Ruskin,"Nebraska, Nuckolls",116,1,6
Seward,"Nebraska, Seward",6843,6,3
Exeter,"Nebraska, Fillmore",533,5,3
Stromsburg,"Nebraska, Polk",1158,1,8
Alexandria,"Nebraska, Thayer",170,1,0
Winnetoon,"Nebraska, Knox",66,6,6
Hardy,"Nebraska, Nuckolls",150,1,0
Cedar Rapids,"Nebraska, Boone",371,3,1
Amherst,"Nebraska, Buffalo",253,2,3
Thedford,"Nebraska, Thomas",219,2,9
David City,"Nebraska, Butler",2797,2,7
Hartington,"Nebraska, Cedar",1490,1,0
Max,"Nebraska, Dundy",89,8,9
Fairfield,"Nebraska, Clay",369,3,9
Hubbell,"Nebraska, Thayer",65,6,5
Peru,"Nebraska, Nemaha",760,7,0
Firth,"Nebraska, Lancaster",577,5,7
Brunswick,"Nebraska, Antelope",134,1,4
Ayr,"Nebraska, Adams",112,1,2
Merriman,"Nebraska, Cherry",131,1,1
Milford,"Nebraska, Seward",2080,2,0
Scotia,"Nebraska, Greeley",291,2,1
Lewiston,"Nebraska, Pawnee",65,6,5
Odell,"Nebraska, Gage",296,2,6
Naper,"Nebraska, Boyd",79,7,9
McCook,"Nebraska, Red Willow",7407,7,7
Avoca,"Nebraska, Cass",246,2,6
Farwell,"Nebraska, Howard",120,1,0
Uehling,"Nebraska, Dodge",223,2,3
Dannebrog,"Nebraska, Howard",300,3,0
Barneston,"Nebraska, Gage",111,1,1
Big Springs,"Nebraska, Deuel",390,3,0
Emerson,"Nebraska, Dixon",803,8,3
Shelton,"Nebraska, Buffalo",1061,1,1
Henry,"Nebraska, Scotts Bluff",102,1,2
St. Paul,"Nebraska, Howard",2342,2,2
Neligh,"Nebraska, Antelope",1516,1,6
Spalding,"Nebraska, Greeley",448,4,8
Waverly,"Nebraska, Lancaster",3669,3,9
Harbine,"Nebraska, Jefferson",47,4,7
Carroll,"Nebraska, Wayne",220,2,0
Haigler,"Nebraska, Dundy",147,1,7
Wellfleet,"Nebraska, Lincoln",77,7,7
Dunning,"Nebraska, Blaine",104,1,4
Giltner,"Nebraska, Hamilton",357,3,7
Hickman,"Nebraska, Lancaster",2221,2,1
Cushing,"Nebraska, Howard",33,3,3
Richland,"Nebraska, Colfax",70,7,0
Sidney,"Nebraska, Cheyenne",6244,6,4
Bushnell,"Nebraska, Kimball",117,1,7
Syracuse,"Nebraska, Otoe",1985,1,5
North Platte,"Nebraska, Lincoln",24352,2,2
Inman,"Nebraska, Holt",123,1,3
Ralston,"Nebraska, Douglas",7333,7,3
Louisville,"Nebraska, Cass",1261,1,1
Enders,"Nebraska, Chase",29,2,9
Ragan,"Nebraska, Harlan",38,3,8
Verdon,"Nebraska, Richardson",161,1,1
Winslow,"Nebraska, Dodge",105,1,5
Clarks,"Nebraska, Merrick",354,3,4
Rulo,"Nebraska, Richardson",162,1,2
Springfield,"Nebraska, Sarpy",1603,1,3
Sunol,"Nebraska, Cheyenne",86,8,6
Winnebago,"Nebraska, Thurston",786,7,6
Oconto,"Nebraska, Custer",146,1,6
Hazard,"Nebraska, Sherman",68,6,8
Chalco,"Nebraska, Sarpy",11209,1,9
Hemingford,"Nebraska, Box Butte",781,7,1
Fordyce,"Nebraska, Cedar",134,1,4
Clarkson,"Nebraska, Colfax",631,6,1
Orchard,"Nebraska, Antelope",350,3,0
Grant,"Nebraska, Perkins",1120,1,0
Chapman,"Nebraska, Merrick",291,2,1
Monowi,"Nebraska, Boyd",1,1,1
Octavia,"Nebraska, Butler",119,1,9
Wood Lake,"Nebraska, Cherry",64,6,4
Crawford,"Nebraska, Dawes",953,9,3
Cotesfield,"Nebraska, Howard",48,4,8
Sumner,"Nebraska, Dawson",225,2,5
Goehner,"Nebraska, Seward",155,1,5
Anoka,"Nebraska, Boyd",6,6,6
Davey,"Nebraska, Lancaster",156,1,6
Lindsay,"Nebraska, Platte",257,2,7
Bruning,"Nebraska, Thayer",270,2,0
Leigh,"Nebraska, Colfax",412,4,2
Thurston,"Nebraska, Thurston",136,1,6
Crookston,"Nebraska, Cherry",71,7,1
Raeville,"Nebraska, Boone",0,0,0
Murray,"Nebraska, Cass",475,4,5
Auburn,"Nebraska, Nemaha",3315,3,5
Alliance,"Nebraska, Box Butte",8158,8,8
Superior,"Nebraska, Nuckolls",1862,1,2
Wallace,"Nebraska, Lincoln",349,3,9
Willow Island,"Nebraska, Dawson",6,6,6
Berwyn,"Nebraska, Custer",81,8,1
Scribner,"Nebraska, Dodge",821,8,1
Minden,"Nebraska, Kearney",2940,2,0
Diller,"Nebraska, Jefferson",253,2,3
Curtis,"Nebraska, Frontier",891,8,1
St. Libory,"Nebraska, Howard",186,1,6
Washington,"Nebraska, Washington",153,1,3
Meadow Grove,"Nebraska, Madison",293,2,3
King Lake,"Nebraska, Douglas",114,1,4
Richfield,"Nebraska, Sarpy",175,1,5
Terrytown,"Nebraska, Scotts Bluff",1185,1,5
Guide Rock,"Nebraska, Webster",206,2,6
Callaway,"Nebraska, Custer",529,5,9
Oxford,"Nebraska, Furnas",754,7,4
Hildreth,"Nebraska, Franklin",352,3,2
Wilsonville,"Nebraska, Furnas",89,8,9
Central City,"Nebraska, Merrick",2808,2,8
Poole,"Nebraska, Buffalo",44,4,4
Newport,"Nebraska, Rock",91,9,1
Mead,"Nebraska, Saunders",552,5,2
Ceresco,"Nebraska, Saunders",885,8,5
Roca,"Nebraska, Lancaster",290,2,0
Belgrade,"Nebraska, Nance",117,1,7
