city,location,number,first,last
North Fort Lewis,"Washington, Pierce",5009,5,9
Tampico,"Washington, Yakima",465,4,5
Tukwila,"Washington, King",20144,2,4
Cathlamet,"Washington, Wahkiakum",553,5,3
Wenatchee,"Washington, Chelan",71512,7,2
Port Ludlow,"Washington, Jefferson",2642,2,2
Castle Rock,"Washington, Cowlitz",2833,2,3
Glacier,"Washington, Whatcom",102,1,2
Index,"Washington, Snohomish",205,2,5
Republic,"Washington, Ferry",1062,1,2
Bellevue,"Washington, King",144444,1,4
Malo,"Washington, Ferry",72,7,2
Anderson Island,"Washington, Pierce",1292,1,2
University Place,"Washington, Pierce",33401,3,1
Montesano,"Washington, Grays Harbor",8494,8,4
Rainier,"Washington, Thurston",2126,2,6
Fords Prairie,"Washington, Lewis",1812,1,2
Roy,"Washington, Pierce",820,8,0
Oso,"Washington, Snohomish",212,2,2
Marblemount,"Washington, Skagit",0,0,0
Elk Plain,"Washington, Pierce",14280,1,0
Burlington,"Washington, Skagit",8783,8,3
Bangor Base,"Washington, Kitsap",6358,6,8
Beaux Arts Village,"Washington, King",326,3,6
Port Gamble Tribal Community,"Washington, Kitsap",920,9,0
Olympia,"Washington, Thurston",196078,1,8
East Wenatchee,"Washington, Douglas",13983,1,3
Addy,"Washington, Stevens",96,9,6
Minnehaha,"Washington, Clark",11767,1,7
Bryn Mawr-Skyway,"Washington, King",18365,1,5
Satsop,"Washington, Grays Harbor",572,5,2
Riverbend,"Washington, King",2241,2,1
Easton,"Washington, Kittitas",395,3,5
Silverdale,"Washington, Kitsap",20664,2,4
Napavine,"Washington, Lewis",1893,1,3
Lochsloy,"Washington, Snohomish",3188,3,8
Ellensburg,"Washington, Kittitas",23471,2,1
McKenna,"Washington, Pierce",978,9,8
Fairfield,"Washington, Spokane",616,6,6
Northwest Stanwood,"Washington, Snohomish",144,1,4
Mansfield,"Washington, Douglas",339,3,9
Duvall,"Washington, King",7813,7,3
Markham,"Washington, Grays Harbor",238,2,8
Waller,"Washington, Pierce",8064,8,4
Longview,"Washington, Cowlitz",65619,6,9
Richland,"Washington, Benton",56243,5,3
Rosedale,"Washington, Pierce",4459,4,9
Vancouver,"Washington, Clark",175673,1,3
Bethel,"Washington, Kitsap",3673,3,3
Custer,"Washington, Whatcom",149,1,9
Lofall,"Washington, Kitsap",2211,2,1
Fairwood,"Washington, King",19531,1,1
Winlock,"Washington, Lewis",1354,1,4
Sumner,"Washington, Pierce",10093,1,3
Cottage Lake,"Washington, King",23941,2,1
Puget Island,"Washington, Wahkiakum",899,8,9
Woods Creek,"Washington, Snohomish",5826,5,6
Washougal,"Washington, Clark",15711,1,1
Sisco Heights,"Washington, Snohomish",2810,2,0
Canterwood,"Washington, Pierce",3220,3,0
Wapato,"Washington, Yakima",7686,7,6
Lower Elochoman,"Washington, Wahkiakum",160,1,0
Lake Goodwin,"Washington, Snohomish",3879,3,9
