region,candidate,number,first,last
NE 1st Dist.,McKinney,393,3,3
NE 2nd Dist.,Obama,138752,1,2
NE 2nd Dist.,McCain,135439,1,9
NE 2nd Dist.,Nader,1621,1,1
NE 2nd Dist.,Barr,1007,1,7
NE 2nd Dist.,Baldwin,604,6,4
NE 2nd Dist.,McKinney,321,3,1
NE 3rd Dist.,Obama,73099,7,9
NE 3rd Dist.,McCain,169361,1,1
NE 3rd Dist.,Nader,1815,1,5
NE 3rd Dist.,Barr,804,8,4
NE 3rd Dist.,Baldwin,1349,1,9
NE 3rd Dist.,McKinney,314,3,4
Nevada,Obama,533736,5,6
Nevada,McCain,412827,4,7
Nevada,Nader,6150,6,0
Nevada,Barr,4263,4,3
Nevada,Baldwin,3194,3,4
Nevada,McKinney,1411,1,1
Nevada,Others votes,6267,6,7
New Hampshire,Obama,384826,3,6
New Hampshire,McCain,316534,3,4
New Hampshire,Nader,3503,3,3
New Hampshire,Barr,2217,2,7
New Hampshire,Baldwin,226,2,6
New Hampshire,McKinney,40,4,0
New Hampshire,Others votes,3624,3,4
New Jersey,Obama,2215422,2,2
New Jersey,McCain,1613207,1,7
New Jersey,Nader,21298,2,8
New Jersey,Barr,8441,8,1
New Jersey,Baldwin,3956,3,6
New Jersey,McKinney,3636,3,6
New Jersey,Others votes,2277,2,7
New Mexico,Obama,472422,4,2
New Mexico,McCain,346832,3,2
New Mexico,Nader,5327,5,7
New Mexico,Barr,2428,2,8
New Mexico,Baldwin,1597,1,7
New Mexico,McKinney,1552,1,2
New York,Obama,4804701,4,1
New York,McCain,2752728,2,8
New York,Nader,41248,4,8
New York,Barr,19595,1,5
New York,Baldwin,634,6,4
New York,McKinney,12801,1,1
New York,Others votes,8936,8,6
North Carolina,Obama,2142651,2,1
North Carolina,McCain,2128474,2,4
North Carolina,Nader,1448,1,8
North Carolina,Barr,25722,2,2
North Carolina,McKinney,158,1,8
North Carolina,Others votes,13942,1,2
North Dakota,Obama,141278,1,8
North Dakota,McCain,168601,1,1
North Dakota,Nader,4189,4,9
North Dakota,Barr,1354,1,4
North Dakota,Baldwin,1199,1,9
Ohio,Obama,2940044,2,4
Ohio,McCain,2677820,2,0
Ohio,Nader,42337,4,7
Ohio,Barr,19917,1,7
Ohio,Baldwin,12565,1,5
Ohio,McKinney,8518,8,8
Ohio,Others votes,7149,7,9
Oklahoma,Obama,502496,5,6
Oklahoma,McCain,960165,9,5
Oregon,Obama,1037291,1,1
Oregon,McCain,738475,7,5
Oregon,Nader,18614,1,4
Oregon,Barr,7635,7,5
Oregon,Baldwin,7693,7,3
Oregon,McKinney,4543,4,3
Oregon,Others votes,13613,1,3
Pennsylvania,Obama,3276363,3,3
Pennsylvania,McCain,2655885,2,5
Pennsylvania,Nader,42977,4,7
Pennsylvania,Barr,19912,1,2
Pennsylvania,Baldwin,1092,1,2
Rhode Island,Obama,296571,2,1
Rhode Island,McCain,165391,1,1
Rhode Island,Nader,4829,4,9
Rhode Island,Barr,1382,1,2
Rhode Island,Baldwin,675,6,5
Rhode Island,McKinney,797,7,7
Rhode Island,Others votes,122,1,2
South Carolina,Obama,862449,8,9
South Carolina,McCain,1034896,1,6
South Carolina,Nader,5053,5,3
South Carolina,Barr,7283,7,3
South Carolina,Baldwin,6827,6,7
South Carolina,McKinney,4461,4,1
South Dakota,Obama,170924,1,4
South Dakota,McCain,203054,2,4
South Dakota,Nader,4267,4,7
South Dakota,Barr,1835,1,5
South Dakota,Baldwin,1895,1,5
Tennessee,Obama,1087437,1,7
Tennessee,McCain,1479178,1,8
Tennessee,Nader,11560,1,0
Tennessee,Barr,8547,8,7
Tennessee,Baldwin,8191,8,1
Tennessee,McKinney,2499,2,9
Tennessee,Others votes,2337,2,7
Texas,Obama,3528633,3,3
Texas,McCain,4479328,4,8
Texas,Nader,5440,5,0
Texas,Barr,56116,5,6
Texas,Baldwin,5395,5,5
Texas,McKinney,831,8,1
Texas,Others votes,2781,2,1
Utah,Obama,327670,3,0
Utah,McCain,596030,5,0
Utah,Nader,8416,8,6
Utah,Barr,6966,6,6
Utah,Baldwin,12012,1,2
Utah,McKinney,982,9,2
Utah,Others votes,294,2,4
Vermont,Obama,219262,2,2
Vermont,McCain,98974,9,4
Vermont,Nader,3339,3,9
Vermont,Barr,1067,1,7
Vermont,Baldwin,500,5,0
