month_number,month_name,day_of_month,day_of_year,births
11,November,13,318,17
11,November,14,319,8
11,November,15,320,9
11,November,16,321,10
11,November,17,322,11
11,November,18,323,15
11,November,19,324,13
11,November,20,325,17
11,November,21,326,15
11,November,22,327,11
11,November,23,328,13
11,November,24,329,12
11,November,25,330,12
11,November,26,331,13
11,November,27,332,11
11,November,28,333,11
11,November,29,334,14
11,November,30,335,16
12,December,1,336,6
12,December,2,337,16
12,December,3,338,10
12,December,4,339,11
12,December,5,340,7
12,December,6,341,12
12,December,7,342,14
12,December,8,343,12
12,December,9,344,17
12,December,10,345,11
12,December,11,346,12
12,December,12,347,10
12,December,13,348,8
12,December,14,349,12
12,December,15,350,9
12,December,16,351,14
12,December,17,352,15
12,December,18,353,17
12,December,19,354,18
12,December,20,355,18
12,December,21,356,7
12,December,22,357,11
12,December,23,358,12
12,December,24,359,8
12,December,25,360,7
12,December,26,361,12
12,December,27,362,14
12,December,28,363,9
12,December,29,364,4
12,December,30,365,20
12,December,31,366,16
