month_number,month_name,day_of_month,day_of_year,births
11,November,13,318,24
11,November,14,319,16
11,November,15,320,24
11,November,16,321,23
11,November,17,322,30
11,November,18,323,42
11,November,19,324,25
11,November,20,325,28
11,November,21,326,26
11,November,22,327,26
11,November,23,328,37
11,November,24,329,24
11,November,25,330,23
11,November,26,331,23
11,November,27,332,21
11,November,28,333,26
11,November,29,334,22
11,November,30,335,21
12,December,1,336,17
12,December,2,337,14
12,December,3,338,34
12,December,4,339,21
12,December,5,340,25
12,December,6,341,28
12,December,7,342,26
12,December,8,343,21
12,December,9,344,31
12,December,10,345,25
12,December,11,346,22
12,December,12,347,12
12,December,13,348,23
12,December,14,349,28
12,December,15,350,26
12,December,16,351,27
12,December,17,352,27
12,December,18,353,28
12,December,19,354,31
12,December,20,355,25
12,December,21,356,35
12,December,22,357,35
12,December,23,358,23
12,December,24,359,16
12,December,25,360,26
12,December,26,361,25
12,December,27,362,26
12,December,28,363,17
12,December,29,364,24
12,December,30,365,22
12,December,31,366,15
