country,region,candidate,number,first,last
US,Mississippi,Others votes,481,4,1
US,Missouri,Obama,1441911,1,1
US,Missouri,McCain,1445814,1,4
US,Missouri,Nader,17813,1,3
US,Missouri,Barr,11386,1,6
US,Missouri,Baldwin,8201,8,1
US,Missouri,McKinney,80,8,0
US,Montana,Obama,231667,2,7
US,Montana,McCain,242763,2,3
US,Montana,Nader,3686,3,6
US,Montana,Barr,1355,1,5
US,Montana,Baldwin,143,1,3
US,Montana,McKinney,23,2,3
US,Montana,Others votes,10638,1,8
US,NE 1st Dist.,Obama,121468,1,8
US,NE 1st Dist.,McCain,148179,1,9
US,NE 1st Dist.,Nader,1970,1,0
US,NE 1st Dist.,Barr,929,9,9
US,NE 1st Dist.,Baldwin,1019,1,9
US,NE 1st Dist.,McKinney,393,3,3
US,NE 2nd Dist.,Obama,138752,1,2
US,NE 2nd Dist.,McCain,135439,1,9
US,NE 2nd Dist.,Nader,1621,1,1
US,NE 2nd Dist.,Barr,1007,1,7
US,NE 2nd Dist.,Baldwin,604,6,4
US,NE 2nd Dist.,McKinney,321,3,1
US,NE 3rd Dist.,Obama,73099,7,9
US,NE 3rd Dist.,McCain,169361,1,1
US,NE 3rd Dist.,Nader,1815,1,5
US,NE 3rd Dist.,Barr,804,8,4
US,NE 3rd Dist.,Baldwin,1349,1,9
US,NE 3rd Dist.,McKinney,314,3,4
US,Nevada,Obama,533736,5,6
US,Nevada,McCain,412827,4,7
US,Nevada,Nader,6150,6,0
US,Nevada,Barr,4263,4,3
US,Nevada,Baldwin,3194,3,4
US,Nevada,McKinney,1411,1,1
US,Nevada,Others votes,6267,6,7
US,New Hampshire,Obama,384826,3,6
US,New Hampshire,McCain,316534,3,4
US,New Hampshire,Nader,3503,3,3
US,New Hampshire,Barr,2217,2,7
US,New Hampshire,Baldwin,226,2,6
US,New Hampshire,McKinney,40,4,0
US,New Hampshire,Others votes,3624,3,4
US,New Jersey,Obama,2215422,2,2
US,New Jersey,McCain,1613207,1,7
US,New Jersey,Nader,21298,2,8
