agedays,sex,mean,sd,cv,l
102,Female,6.6126,0.7642843079999999,0.11558,0.1669
103,Female,6.6338,0.7658058719999999,0.11544,0.1663
104,Female,6.6547,0.76728691,0.1153,0.1657
105,Female,6.6755,0.7687505800000001,0.11516,0.1651
106,Female,6.6962,0.770196924,0.11502,0.1644
107,Female,6.7166,0.771670174,0.11489,0.1638
108,Female,6.737,0.77313812,0.11476,0.1632
109,Female,6.7572,0.774577836,0.11463,0.1626
110,Female,6.7772,0.7759893999999999,0.1145,0.162
111,Female,6.7971,0.777452298,0.11438,0.1614
112,Female,6.8168,0.7788194,0.11425,0.1609
113,Female,6.8365,0.780249745,0.11413,0.1603
114,Female,6.8559,0.781641159,0.11401,0.1597
115,Female,6.8753,0.78309667,0.1139,0.1591
116,Female,6.8945,0.78445621,0.11378,0.1585
117,Female,6.9135,0.7858575449999999,0.11367,0.158
118,Female,6.9325,0.7872547,0.11356,0.1574
119,Female,6.9513,0.788624985,0.11345,0.1568
120,Female,6.9699,0.7899684659999999,0.11334,0.1563
121,Female,6.9885,0.7913777399999999,0.11324,0.1557
122,Female,7.0069,0.792690597,0.11313,0.1551
123,Female,7.0252,0.7940583560000001,0.11303,0.1546
124,Female,7.0434,0.7954111620000001,0.11293,0.154
125,Female,7.0615,0.796749045,0.11283,0.1535
126,Female,7.0794,0.798131556,0.11274,0.1529
127,Female,7.0972,0.79949958,0.11265,0.1524
128,Female,7.1149,0.8007819949999999,0.11255,0.1519
129,Female,7.1325,0.80212095,0.11246,0.1513
130,Female,7.15,0.8034455,0.11237,0.1508
131,Female,7.1674,0.8048273459999999,0.11229,0.1502
132,Female,7.1846,0.8061121199999999,0.1122,0.1497
133,Female,7.2018,0.807465816,0.11212,0.1492
134,Female,7.2188,0.8087943519999999,0.11204,0.1487
135,Female,7.2357,0.810108972,0.11196,0.1481
136,Female,7.2525,0.8114097,0.11188,0.1476
137,Female,7.2692,0.8126965599999999,0.1118,0.1471
138,Female,7.2858,0.813969576,0.11172,0.1466
139,Female,7.3023,0.815301795,0.11165,0.1461
140,Female,7.3187,0.816620546,0.11158,0.1456
141,Female,7.335,0.8178525,0.1115,0.1451
142,Female,7.3512,0.8191442160000001,0.11143,0.1446
143,Female,7.3673,0.820496201,0.11137,0.1441
144,Female,7.3833,0.82176129,0.1113,0.1436
145,Female,7.3992000000000004,0.823013016,0.11123,0.1431
146,Female,7.415,0.8243255500000001,0.11117,0.1426
147,Female,7.4307,0.825625077,0.11111,0.1421
148,Female,7.4463,0.826837152,0.11104,0.1416
149,Female,7.4618,0.8281105639999999,0.11098,0.1411
150,Female,7.4772,0.8293710240000001,0.11092,0.1406
151,Female,7.4925,0.8306934749999999,0.11087,0.1401
152,Female,7.5077,0.8319282370000001,0.11081,0.1396
153,Female,7.5228,0.8331501,0.11075,0.1391
154,Female,7.5379,0.83444553,0.1107,0.1387
155,Female,7.5528,0.83571732,0.11065,0.1382
156,Female,7.5677,0.8369119429999999,0.11059,0.1377
157,Female,7.5824,0.8381584959999999,0.11054,0.1372
158,Female,7.5971,0.8394035790000001,0.11049,0.1368
159,Female,7.6117,0.840636148,0.11044,0.1363
160,Female,7.6262,0.84193248,0.1104,0.1358
161,Female,7.6406,0.8431402100000001,0.11035,0.1354
162,Female,7.655,0.8444230500000001,0.11031,0.1349
163,Female,7.6692,0.845605992,0.11026,0.1344
164,Female,7.6834,0.846864348,0.11022,0.134
165,Female,7.6975,0.84811055,0.11018,0.1335
166,Female,7.7115,0.8492674950000001,0.11013,0.1331
167,Female,7.7255,0.850500295,0.11009,0.1326
168,Female,7.7394,0.8517209699999999,0.11005,0.1322
169,Female,7.7532,0.853007064,0.11002,0.1317
170,Female,7.7669,0.854203662,0.10998,0.1313
171,Female,7.7805,0.85538817,0.10994,0.1308
172,Female,7.7941,0.856649531,0.10991,0.1304
173,Female,7.8076,0.8578210119999999,0.10987,0.1299
174,Female,7.821,0.8590586399999999,0.10984,0.1295
175,Female,7.8344,0.86021712,0.1098,0.129
176,Female,7.8477,0.861442029,0.10977,0.1286
177,Female,7.8609,0.862655166,0.10974,0.1282
178,Female,7.8741,0.863867511,0.10971,0.1277
179,Female,7.8871,0.865057128,0.10968,0.1273
180,Female,7.9002,0.8662569299999999,0.10965,0.1269
181,Female,7.9131,0.867434022,0.10962,0.1264
182,Female,7.926,0.86861034,0.10959,0.126
183,Female,7.9389,0.869865273,0.10957,0.1256
184,Female,7.9516,0.871018264,0.10954,0.1251
185,Female,7.9643,0.8721704929999999,0.10951,0.1247
186,Female,7.977,0.8734017300000001,0.10949,0.1243
187,Female,7.9895,0.87453067,0.10946,0.1239
188,Female,8.0021,0.875749824,0.10944,0.1235
189,Female,8.0145,0.87694659,0.10942,0.123
190,Female,8.0269,0.87814286,0.1094,0.1226
191,Female,8.0392,0.8792473039999998,0.10937,0.1222
192,Female,8.0515,0.8804315250000001,0.10935,0.1218
193,Female,8.0637,0.8816043210000001,0.10933,0.1214
194,Female,8.0759,0.8827766290000001,0.10931,0.121
195,Female,8.0879,0.8839265909999999,0.10929,0.1206
196,Female,8.1,0.885087,0.10927,0.1201
197,Female,8.112,0.886236,0.10925,0.1197
198,Female,8.1239,0.8874548360000001,0.10924,0.1193
199,Female,8.1357,0.8885811539999999,0.10922,0.1189
200,Female,8.1475,0.8897070000000001,0.1092,0.1185
201,Female,8.1593,0.8909139669999999,0.10919,0.1181
202,Female,8.171,0.89202807,0.10917,0.1177
203,Female,8.1826,0.8931307900000001,0.10915,0.1173
204,Female,8.1942,0.8943149880000001,0.10914,0.1169
205,Female,8.2058,0.895498954,0.10913,0.1165
206,Female,8.2173,0.896589603,0.10911,0.1161
207,Female,8.2287,0.89775117,0.1091,0.1157
208,Female,8.2401,0.898830108,0.10908,0.1153
209,Female,8.2514,0.8999801980000001,0.10907,0.1149
210,Female,8.2627,0.9011300620000001,0.10906,0.1145
211,Female,8.2739,0.9022687949999999,0.10905,0.1142
212,Female,8.2851,0.903324453,0.10903,0.1138
213,Female,8.2963,0.904462626,0.10902,0.1134
214,Female,8.3074,0.9055896739999999,0.10901,0.113
215,Female,8.3184,0.9067056,0.109,0.1126
216,Female,8.3294,0.907821306,0.10899,0.1122
217,Female,8.3404,0.908936792,0.10898,0.1118
218,Female,8.3513,0.910041161,0.10897,0.1115
219,Female,8.3621,0.911134416,0.10896,0.1111
220,Female,8.3729,0.912227455,0.10895,0.1107
221,Female,8.3837,0.9133202779999999,0.10894,0.1103
222,Female,8.3944,0.9144859359999998,0.10894,0.1099
223,Female,8.4051,0.9155675429999999,0.10893,0.1096
224,Female,8.4157,0.9166380439999999,0.10892,0.1092
225,Female,8.4263,0.917708333,0.10891,0.1088
226,Female,8.4369,0.918862779,0.10891,0.1084
227,Female,8.4474,0.91992186,0.1089,0.1081
228,Female,8.4578,0.9209698420000001,0.10889,0.1077
229,Female,8.4683,0.9221131869999999,0.10889,0.1073
230,Female,8.4787,0.923160856,0.10888,0.107
231,Female,8.489,0.92419743,0.10887,0.1066
232,Female,8.4993,0.9253187909999999,0.10887,0.1062
233,Female,8.5096,0.926355056,0.10886,0.1059
234,Female,8.5198,0.927465428,0.10886,0.1055
235,Female,8.53,0.9284905,0.10885,0.1051
236,Female,8.5401,0.9295898850000001,0.10885,0.1048
237,Female,8.5502,0.9306037680000001,0.10884,0.1044
238,Female,8.5603,0.931703052,0.10884,0.104
239,Female,8.5704,0.932802336,0.10884,0.1037
240,Female,8.5804,0.9338049319999999,0.10883,0.1033
241,Female,8.5903,0.9348823489999999,0.10883,0.103
242,Female,8.6003,0.9358846460000001,0.10882,0.1026
243,Female,8.6102,0.9369619640000001,0.10882,0.1023
244,Female,8.62,0.9380283999999999,0.10882,0.1019
245,Female,8.6299,0.9391057179999999,0.10882,0.1015
246,Female,8.6397,0.940085757,0.10881,0.1012
247,Female,8.6494,0.9411412140000001,0.10881,0.1008
248,Female,8.6592,0.9422075520000001,0.10881,0.1005
249,Female,8.6689,0.9432630090000002,0.10881,0.1001
250,Female,8.6785,0.944307585,0.10881,0.0998
251,Female,8.6882,0.9452761599999999,0.1088,0.0994
252,Female,8.6978,0.94632064,0.1088,0.0991
253,Female,8.7073,0.9473542399999999,0.1088,0.0987
254,Female,8.7169,0.94839872,0.1088,0.0984
255,Female,8.7264,0.9494323199999999,0.1088,0.0981
256,Female,8.7359000000000009,0.9504659200000001,0.1088,0.0977
257,Female,8.7453,0.95148864,0.1088,0.0974
258,Female,8.7548,0.9525222399999999,0.1088,0.097
259,Female,8.7642,0.95354496,0.1088,0.0967
260,Female,8.7735,0.9545568,0.1088,0.0963
261,Female,8.7829,0.9555795199999999,0.1088,0.096
262,Female,8.7922,0.9565913599999999,0.1088,0.0957
263,Female,8.8015,0.9576032,0.1088,0.0953
264,Female,8.8107,0.95860416,0.1088,0.095
265,Female,8.82,0.959616,0.1088,0.0947
266,Female,8.8292,0.96061696,0.1088,0.0943
267,Female,8.8384,0.9616179199999999,0.1088,0.094
268,Female,8.8475,0.9626079999999999,0.1088,0.0937
269,Female,8.8567,0.96360896,0.1088,0.0933
270,Female,8.8658,0.96459904,0.1088,0.093
271,Female,8.8748,0.96557824,0.1088,0.0927
272,Female,8.8839,0.966657159,0.10881,0.0923
273,Female,8.8929,0.9676364489999999,0.10881,0.092
274,Female,8.9019,0.968615739,0.10881,0.0917
275,Female,8.9109,0.969595029,0.10881,0.0913
276,Female,8.9199,0.970574319,0.10881,0.091
277,Female,8.9288,0.971632016,0.10882,0.0907
278,Female,8.9377,0.9726005139999999,0.10882,0.0904
279,Female,8.9466,0.973569012,0.10882,0.09
280,Female,8.9555,0.9745375100000001,0.10882,0.0897
281,Female,8.9643,0.975495126,0.10882,0.0894
282,Female,8.9731,0.9765424730000001,0.10883,0.0891
283,Female,8.9819,0.9775001769999999,0.10883,0.0887
284,Female,8.9907,0.978457881,0.10883,0.0884
285,Female,8.9995,0.97950558,0.10884,0.0881
286,Female,9.0082,0.9804524880000001,0.10884,0.0878
287,Female,9.0169,0.981399396,0.10884,0.0875
288,Female,9.0256,0.9823463040000001,0.10884,0.0871
289,Female,9.0342,0.9833726700000001,0.10885,0.0868
290,Female,9.0429,0.984319665,0.10885,0.0865
291,Female,9.0515,0.9852557750000001,0.10885,0.0862
292,Female,9.0601,0.986282486,0.10886,0.0859
293,Female,9.0687,0.987218682,0.10886,0.0856
294,Female,9.0772,0.9882347639999999,0.10887,0.0852
295,Female,9.0858,0.989171046,0.10887,0.0849
296,Female,9.0943,0.990096441,0.10887,0.0846
297,Female,9.1028,0.9911128640000001,0.10888,0.0843
298,Female,9.1113,0.992038344,0.10888,0.084
299,Female,9.1198,0.992963824,0.10888,0.0837
300,Female,9.1282,0.993969698,0.10889,0.0834
301,Female,9.1366,0.994884374,0.10889,0.0831
302,Female,9.145,0.9958904999999999,0.1089,0.0827
303,Female,9.1534,0.9968052599999999,0.1089,0.0824
304,Female,9.1618,0.9977200199999999,0.1089,0.0821
305,Female,9.1701,0.9987155910000001,0.10891,0.0818
306,Female,9.1785,0.999630435,0.10891,0.0815
307,Female,9.1868,1.000626256,0.10892,0.0812
308,Female,9.1951,1.001530292,0.10892,0.0809
309,Female,9.2034,1.002526362,0.10893,0.0806
310,Female,9.2117,1.003430481,0.10893,0.0803
311,Female,9.2199,1.004415906,0.10894,0.08
312,Female,9.2282,1.0053201079999998,0.10894,0.0797
313,Female,9.2364,1.006213416,0.10894,0.0794
314,Female,9.2446,1.00719917,0.10895,0.0791
315,Female,9.2528,1.0080925600000001,0.10895,0.0788
316,Female,9.261,1.0090785599999998,0.10896,0.0785
317,Female,9.2691,1.009961136,0.10896,0.0782
318,Female,9.2773,1.010947381,0.10897,0.0779
319,Female,9.2854,1.0118300379999998,0.10897,0.0776
320,Female,9.2935,1.01280563,0.10898,0.0773
321,Female,9.3016,1.013688368,0.10898,0.077
322,Female,9.3097,1.014664203,0.10899,0.0767
323,Female,9.3178,1.015547022,0.10899,0.0764
324,Female,9.3258,1.0165122,0.109,0.0761
325,Female,9.3339,1.0174884389999999,0.10901,0.0758
326,Female,9.3419,1.018360519,0.10901,0.0755
327,Female,9.3499,1.019326098,0.10902,0.0752
328,Female,9.3579,1.0201982580000002,0.10902,0.0749
329,Female,9.3659,1.0211640770000001,0.10903,0.0746
330,Female,9.3739,1.0220363170000002,0.10903,0.0744
331,Female,9.3819,1.023002376,0.10904,0.0741
332,Female,9.3898,1.023863792,0.10904,0.0738
333,Female,9.3978,1.02483009,0.10905,0.0735
334,Female,9.4057,1.025691585,0.10905,0.0732
335,Female,9.4136,1.0266472160000002,0.10906,0.0729
336,Female,9.4215,1.027603005,0.10907,0.0726
337,Female,9.4294,1.0284646579999999,0.10907,0.0723
338,Female,9.4373,1.029420684,0.10908,0.072
339,Female,9.4452,1.030282416,0.10908,0.0718
340,Female,9.453,1.03122777,0.10909,0.0715
341,Female,9.4609,1.0321841900000002,0.1091,0.0712
342,Female,9.4687,1.03303517,0.1091,0.0709
343,Female,9.4765,1.033980915,0.10911,0.0706
344,Female,9.4844,1.0348428840000001,0.10911,0.0703
345,Female,9.4922,1.035788864,0.10912,0.0701
346,Female,9.4999,1.036724087,0.10913,0.0698
347,Female,9.5077,1.037575301,0.10913,0.0695
348,Female,9.5155,1.03852167,0.10914,0.0692
349,Female,9.5232,1.03945728,0.10915,0.0689
350,Female,9.531,1.04030865,0.10915,0.0686
351,Female,9.5387,1.041244492,0.10916,0.0684
352,Female,9.5464,1.042085024,0.10916,0.0681
353,Female,9.5542,1.043032014,0.10917,0.0678
354,Female,9.5619,1.043968242,0.10918,0.0675
355,Female,9.5696,1.044808928,0.10918,0.0672
356,Female,9.5772,1.0457344679999998,0.10919,0.067
357,Female,9.5849,1.04667108,0.1092,0.0667
358,Female,9.5926,1.04751192,0.1092,0.0664
359,Female,9.6002,1.048437842,0.10921,0.0661
360,Female,9.6079,1.049374838,0.10922,0.0659
361,Female,9.6155,1.0502049100000002,0.10922,0.0656
362,Female,9.6231,1.0511312130000001,0.10923,0.0653
363,Female,9.6308,1.0520685920000001,0.10924,0.065
364,Female,9.6384,1.0529952,0.10925,0.0648
365,Female,9.646,1.0538255,0.10925,0.0645
366,Female,9.6535,1.0547414099999999,0.10926,0.0642
367,Female,9.6611,1.055668397,0.10927,0.064
368,Female,9.6687,1.056498849,0.10927,0.0637
369,Female,9.6763,1.057426064,0.10928,0.0634
370,Female,9.6838,1.058342502,0.10929,0.0631
371,Female,9.6914,1.0592700199999998,0.1093,0.0629
372,Female,9.6989,1.06008977,0.1093,0.0626
373,Female,9.7064,1.061006584,0.10931,0.0623
374,Female,9.7139,1.061923548,0.10932,0.0621
375,Female,9.7214,1.062840662,0.10933,0.0618
376,Female,9.7289,1.063660637,0.10933,0.0615
377,Female,9.7364,1.064577976,0.10934,0.0613
378,Female,9.7439,1.065495465,0.10935,0.061
379,Female,9.7514,1.066413104,0.10936,0.0607
380,Female,9.7588,1.0672223680000001,0.10936,0.0605
381,Female,9.7663,1.0681402309999999,0.10937,0.0602
382,Female,9.7738,1.069058244,0.10938,0.0599
383,Female,9.7812,1.069965468,0.10939,0.0597
384,Female,9.7886,1.070774954,0.10939,0.0594
385,Female,9.796,1.0716823999999998,0.1094,0.0591
386,Female,9.8035,1.0726009349999999,0.10941,0.0589
387,Female,9.8109,1.073508678,0.10942,0.0586
388,Female,9.8183,1.074416569,0.10943,0.0583
389,Female,9.8257,1.075226351,0.10943,0.0581
390,Female,9.833,1.0761235199999999,0.10944,0.0578
391,Female,9.8404,1.0770317800000002,0.10945,0.0576
392,Female,9.8478,1.077940188,0.10946,0.0573
393,Female,9.8551,1.078837797,0.10947,0.057
394,Female,9.8625,1.0797465,0.10948,0.0568
395,Female,9.8699,1.0805566519999998,0.10948,0.0565
396,Female,9.8772,1.0814546280000001,0.10949,0.0563
397,Female,9.8845,1.0823527499999999,0.1095,0.056
398,Female,9.8918,1.083251018,0.10951,0.0557
399,Female,9.8992,1.084160384,0.10952,0.0555
400,Female,9.9065,1.0850589449999999,0.10953,0.0552
401,Female,9.9138,1.085957652,0.10954,0.055
402,Female,9.9211,1.0867572939999999,0.10954,0.0547
403,Female,9.9284,1.08765622,0.10955,0.0545
404,Female,9.9357,1.0885552920000001,0.10956,0.0542
405,Female,9.9429,1.089443553,0.10957,0.054
406,Female,9.9502,1.090342916,0.10958,0.0537
407,Female,9.9575,1.0912424250000001,0.10959,0.0534
408,Female,9.9647,1.0921311200000001,0.1096,0.0532
409,Female,9.972,1.09303092,0.10961,0.0529
410,Female,9.9792,1.093820112,0.10961,0.0527
411,Female,9.9865,1.0947201299999998,0.10962,0.0524
412,Female,9.9937,1.0956093310000001,0.10963,0.0522
413,Female,10.0009,1.096498676,0.10964,0.0519
414,Female,10.0082,1.0973991300000001,0.10965,0.0517
415,Female,10.0154,1.0982887639999999,0.10966,0.0514
416,Female,10.0226,1.0991785420000002,0.10967,0.0512
417,Female,10.0298,1.100068464,0.10968,0.0509
418,Female,10.037,1.10095853,0.10969,0.0507
419,Female,10.0442,1.10184874,0.1097,0.0504
420,Female,10.0514,1.102739094,0.10971,0.0502
421,Female,10.0586,1.103529006,0.10971,0.0499
422,Female,10.0657,1.1044086039999998,0.10972,0.0497
423,Female,10.0729,1.105299317,0.10973,0.0494
424,Female,10.0801,1.106190174,0.10974,0.0492
425,Female,10.0872,1.1070702,0.10975,0.0489
426,Female,10.0944,1.107961344,0.10976,0.0487
427,Female,10.1015,1.108841655,0.10977,0.0484
428,Female,10.1087,1.109733086,0.10978,0.0482
429,Female,10.1158,1.110613682,0.10979,0.0479
430,Female,10.123,1.1115054,0.1098,0.0477
431,Female,10.1301,1.112386281,0.10981,0.0475
432,Female,10.1372,1.113267304,0.10982,0.0472
433,Female,10.1443,1.1141484689999999,0.10983,0.047
434,Female,10.1515,1.11504076,0.10984,0.0467
435,Female,10.1586,1.11592221,0.10985,0.0465
436,Female,10.1657,1.116803802,0.10986,0.0462
437,Female,10.1728,1.117685536,0.10987,0.046
438,Female,10.1799,1.118567412,0.10988,0.0458
439,Female,10.187,1.11944943,0.10989,0.0455
440,Female,10.1941,1.12033159,0.1099,0.0453
441,Female,10.2011,1.121202901,0.10991,0.045
442,Female,10.2082,1.122085344,0.10992,0.0448
443,Female,10.2153,1.1229679289999999,0.10993,0.0445
444,Female,10.2224,1.123850656,0.10994,0.0443
445,Female,10.2294,1.12472253,0.10995,0.0441
446,Female,10.2365,1.12560554,0.10996,0.0438
447,Female,10.2435,1.126477695,0.10997,0.0436
448,Female,10.2506,1.127360988,0.10998,0.0433
449,Female,10.2576,1.128233424,0.10999,0.0431
450,Female,10.2647,1.129117,0.11,0.0429
451,Female,10.2717,1.129989717,0.11001,0.0426
452,Female,10.2788,1.1308735760000002,0.11002,0.0424
453,Female,10.2858,1.1317465740000001,0.11003,0.0422
454,Female,10.2928,1.13272264,0.11005,0.0419
455,Female,10.2998,1.133595988,0.11006,0.0417
456,Female,10.3069,1.1344804830000002,0.11007,0.0414
457,Female,10.3139,1.135354112,0.11008,0.0412
458,Female,10.3209,1.136227881,0.11009,0.041
459,Female,10.3279,1.13710179,0.1101,0.0407
460,Female,10.3349,1.1379758389999999,0.11011,0.0405
461,Female,10.3419,1.138850028,0.11012,0.0403
462,Female,10.3489,1.1397243570000002,0.11013,0.04
463,Female,10.3559,1.140598826,0.11014,0.0398
464,Female,10.3629,1.141473435,0.11015,0.0396
465,Female,10.3699,1.1423481839999998,0.11016,0.0393
466,Female,10.3769,1.143223073,0.11017,0.0391
467,Female,10.3839,1.144201941,0.11019,0.0389
468,Female,10.3908,1.14506616,0.1102,0.0386
469,Female,10.3978,1.145941538,0.11021,0.0384
470,Female,10.4048,1.146817056,0.11022,0.0382
471,Female,10.4118,1.147692714,0.11023,0.0379
472,Female,10.4187,1.148557488,0.11024,0.0377
473,Female,10.4257,1.149433425,0.11025,0.0375
474,Female,10.4326,1.1502984760000001,0.11026,0.0373
475,Female,10.4396,1.151174692,0.11027,0.037
476,Female,10.4465,1.152144485,0.11029,0.0368
477,Female,10.4535,1.15302105,0.1103,0.0366
478,Female,10.4604,1.1538867240000001,0.11031,0.0363
479,Female,10.4674,1.154763568,0.11032,0.0361
480,Female,10.4743,1.1556295189999999,0.11033,0.0359
481,Female,10.4813,1.1565066419999999,0.11034,0.0357
482,Female,10.4882,1.15737287,0.11035,0.0354
483,Female,10.4951,1.158344187,0.11037,0.0352
484,Female,10.502,1.1592107600000001,0.11038,0.035
485,Female,10.509,1.16008851,0.11039,0.0347
486,Female,10.5159,1.16095536,0.1104,0.0345
487,Female,10.5228,1.161822348,0.11041,0.0343
488,Female,10.5297,1.162689474,0.11042,0.0341
489,Female,10.5366,1.163662104,0.11044,0.0338
490,Female,10.5435,1.164529575,0.11045,0.0336
491,Female,10.5505,1.16540823,0.11046,0.0334
492,Female,10.5574,1.1662759779999998,0.11047,0.0332
493,Female,10.5643,1.1671438639999998,0.11048,0.0329
494,Female,10.5712,1.1681176,0.1105,0.0327
495,Female,10.578,1.1689747799999999,0.11051,0.0325
496,Female,10.5849,1.1698431479999998,0.11052,0.0323
497,Female,10.5918,1.170711654,0.11053,0.032
498,Female,10.5987,1.1715802979999999,0.11054,0.0318
499,Female,10.6056,1.1725551360000002,0.11056,0.0316
500,Female,10.6125,1.1734241250000002,0.11057,0.0314
501,Female,10.6193,1.1742821940000001,0.11058,0.0312
502,Female,10.6262,1.175151458,0.11059,0.0309
503,Female,10.6331,1.1760208600000002,0.1106,0.0307
504,Female,10.6399,1.176985738,0.11062,0.0305
505,Female,10.6468,1.1778554840000002,0.11063,0.0303
506,Female,10.6537,1.178725368,0.11064,0.03
507,Female,10.6605,1.179584325,0.11065,0.0298
508,Female,10.6674,1.1805611580000002,0.11067,0.0296
509,Female,10.6742,1.1814204560000001,0.11068,0.0294
510,Female,10.6811,1.1822909590000001,0.11069,0.0292
511,Female,10.6879,1.1831505300000003,0.1107,0.0289
512,Female,10.6948,1.1841282560000002,0.11072,0.0287
513,Female,10.7016,1.1849881679999998,0.11073,0.0285
514,Female,10.7084,1.185848216,0.11074,0.0283
