agedays,sex,mean,sd,cv,l
115,Female,61.6156,2.151616752,0.03492,1
116,Female,61.687,2.1534931699999995,0.03491,1
117,Female,61.758,2.1553542,0.0349,1
118,Female,61.8286,2.157199854,0.03489,1
119,Female,61.8988,2.159030144,0.03488,1
120,Female,61.9686,2.160845082,0.03487,1
121,Female,62.0381,2.163268547,0.03487,1
122,Female,62.1071,2.165053506,0.03486,1
123,Female,62.1758,2.16682663,0.03485,1
124,Female,62.2441,2.1685844440000004,0.03484,1
125,Female,62.312,2.1703269599999997,0.03483,1
126,Female,62.3795,2.17205419,0.03482,1
127,Female,62.4467,2.173769627,0.03481,1
128,Female,62.5135,2.1754697999999997,0.0348,1
129,Female,62.58,2.1771582,0.03479,1
130,Female,62.6461,2.179457819,0.03479,1
131,Female,62.7118,2.181116404,0.03478,1
132,Female,62.7772,2.182763244,0.03477,1
133,Female,62.8423,2.184398348,0.03476,1
134,Female,62.907,2.18601825,0.03475,1
135,Female,62.9714,2.1882561500000004,0.03475,1
136,Female,63.0354,2.1898497960000003,0.03474,1
137,Female,63.0991,2.191431743,0.03473,1
138,Female,63.1626,2.193005472,0.03472,1
139,Female,63.2257,2.194564047,0.03471,1
140,Female,63.2884,2.196740364,0.03471,1
141,Female,63.3509,2.1982762300000003,0.0347,1
142,Female,63.4131,2.199800439,0.03469,1
143,Female,63.475,2.20194775,0.03469,1
144,Female,63.5365,2.2034458200000002,0.03468,1
145,Female,63.5978,2.204935726,0.03467,1
146,Female,63.6588,2.2070505959999998,0.03467,1
147,Female,63.7196,2.208521336,0.03466,1
148,Female,63.78,2.209977,0.03465,1
149,Female,63.8402,2.21206293,0.03465,1
150,Female,63.9,2.2134959999999997,0.03464,1
151,Female,63.9597,2.214924411,0.03463,1
152,Female,64.019,2.2169779700000003,0.03463,1
153,Female,64.0781,2.2183838220000003,0.03462,1
154,Female,64.137,2.2197815700000003,0.03461,1
155,Female,64.1956,2.221809716,0.03461,1
156,Female,64.2539,2.22318494,0.0346,1
157,Female,64.312,2.2251952,0.0346,1
